CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41288311,HI-LIFE RESTAURANT & LOUNGE,MANHATTAN,1503,2 AVENUE,10075,2126285433,American,03/09/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
41204680,SUSHI VILLAGE,QUEENS,3250,FRANCIS LEWIS BOULEVARD,11358,7188864733,Japanese,11/24/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,,,05/21/2016,Cycle Inspection / Initial Inspection
41166072,QUIJOTE,QUEENS,3106,36 AVENUE,11106,7187298178,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",03/04/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,03/04/2015,05/21/2016,Cycle Inspection / Initial Inspection
50049326,,MANHATTAN,2190,FREDERICK DOUGLASS BLVD,10026,9177141411,Other,01/01/1900,,,,Not Applicable,,,,05/21/2016,
41645426,LA NUEVA COLOMBIA BAKERY,QUEENS,9107,31ST AVE,11369,7183963399,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",08/13/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,34,,,05/21/2016,Cycle Inspection / Initial Inspection
41258881,NYSB,QUEENS,0,JFK INTERNATIONAL AIRPORT,11430,6312363880,American,02/26/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,05/21/2016,Cycle Inspection / Initial Inspection
41716972,STARBUCKS,MANHATTAN,200,LIBERTY STREET,10281,2125879512,CafÃ©/Coffee/Tea,04/06/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,04/06/2016,05/21/2016,Cycle Inspection / Initial Inspection
41685505,TA 40 CAFE,BROOKLYN,6604,BAY PARKWAY,11204,7183531668,Chinese,09/29/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,16,,,05/21/2016,Cycle Inspection / Initial Inspection
40927513,ISLA OF VERDE,BRONX,1859,WESTCHESTER AVENUE,10472,7188281200,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/03/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,,,05/21/2016,Cycle Inspection / Initial Inspection
40949448,BRASSERIE 8 1/2,MANHATTAN,9,WEST   57 STREET,10019,2128290812,American,03/04/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,B,03/04/2014,05/21/2016,Cycle Inspection / Re-inspection
41538119,HANSON DRY,BROOKLYN,925,FULTON STREET,11238,3474220852,American,03/15/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,05/21/2016,Cycle Inspection / Initial Inspection
41673642,YA SHI RESTAURANT,QUEENS,4030,149TH PL,11354,3474381555,Korean,04/24/2013,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,47,,,05/21/2016,Cycle Inspection / Initial Inspection
40575519,MOLYVOS,MANHATTAN,871,7 AVENUE,10019,2125827500,Greek,08/30/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,44,,,05/21/2016,Cycle Inspection / Initial Inspection
41583748,YEE MEI FONG TAIWAN BAKERY,QUEENS,13538,ROOSEVELT AVENUE,11354,7188866820,Bakery,05/31/2013,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,57,,,05/21/2016,Cycle Inspection / Initial Inspection
40606331,PARK ITALIAN GOURMENT,MANHATTAN,60,WEST   45 STREET,10036,2123820580,Italian,05/29/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,05/29/2015,05/21/2016,Cycle Inspection / Re-inspection
40398795,VIXENS,QUEENS,6007,METROPOLITAN AVENUE,11385,7188217222,American,03/22/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,03/22/2016,05/21/2016,Cycle Inspection / Initial Inspection
41597839,KIDO SUSHI (QUEENS CENTER MALL),QUEENS,9015,QUEENS BOULEVARD,11373,7182713688,Japanese,04/15/2014,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,20,,,05/21/2016,Cycle Inspection / Initial Inspection
41657755,DONNA,BROOKLYN,27,BROADWAY,11249,9178474434,American,05/08/2013,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,,,,05/21/2016,Administrative Miscellaneous / Initial Inspection
50007898,Pat'e Palo,MANHATTAN,251,DYCKMAN ST,10034,6465290736,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/16/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,05/21/2016,Trans Fat / Initial Inspection
50014389,GINO'S PIZZERIA,QUEENS,4319,BROADWAY,11103,7182749000,Pizza,08/19/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,08/19/2015,05/21/2016,Cycle Inspection / Re-inspection
41656483,LA FAMILIA GRILL HOUSE,BROOKLYN,876,4 AVENUE,11232,7183694046,Spanish,10/29/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,,05/21/2016,Cycle Inspection / Initial Inspection
40745126,PINOCCHIO RISTORANTE,MANHATTAN,1748,1 AVENUE,10128,2128285810,Italian,05/29/2015,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,47,,,05/21/2016,Cycle Inspection / Compliance Inspection
41546956,TAK KING CHINESE RESTAURANT,BROOKLYN,1367,FULTON STREET,11216,7186223416,Chinese,05/07/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,05/07/2013,05/21/2016,Cycle Inspection / Initial Inspection
50012867,CHILLZ RESTAURANT,BRONX,4744,WHITE PLAINS RD,10470,3473469868,Caribbean,11/18/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,53,,,05/21/2016,Cycle Inspection / Initial Inspection
41656254,LA VIDA LOCA RESTAURANT AND BAR,QUEENS,10101,37 AVENUE,11368,7185074400,Mexican,03/20/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,03/20/2016,05/21/2016,Cycle Inspection / Re-inspection
40930976,SUBWAY,QUEENS,6979,GRAND AVENUE,11378,7184461251,Sandwiches,06/25/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,06/25/2015,05/21/2016,Cycle Inspection / Initial Inspection
41004014,WOODHAVEN HOUSE,QUEENS,6398,WOODHAVEN BOULEVARD,11374,7188945400,Irish,04/21/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,04/21/2016,05/21/2016,Cycle Inspection / Re-inspection
41591126,ROSE BENGAL,QUEENS,7701,101 AVENUE,11416,7188485300,Bangladeshi,07/10/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27,,,05/21/2016,Cycle Inspection / Initial Inspection
50000088,MAHARLIKA,MANHATTAN,111,FIRST AVE,10003,6463927880,Filipino,06/30/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,06/30/2014,05/21/2016,Cycle Inspection / Re-inspection
50008282,COFFEE 11238,BROOKLYN,995A,FULTON ST,11238,7183993080,CafÃ©/Coffee/Tea,08/06/2014,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,5,A,08/06/2014,05/21/2016,Pre-permit (Operational) / Re-inspection
40397962,BEN ASH DELICATESSEN,MANHATTAN,855,7 AVENUE,10019,2122651818,Delicatessen,05/12/2015,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,41,,,05/21/2016,Cycle Inspection / Initial Inspection
41574984,TENGU SUSHI & NOODLE HOUSE,BROOKLYN,5920,FORT HAMILTON PARKWAY,11219,7186333336,Japanese,09/24/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,,,05/21/2016,Cycle Inspection / Initial Inspection
40592566,FRED'S,MANHATTAN,476,AMSTERDAM AVE,10024,2125793076,American,11/13/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,11/13/2014,05/21/2016,Cycle Inspection / Re-inspection
40936721,EL PAISA BAR,QUEENS,8705,NORTHERN BOULEVARD,11372,7184295622,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/11/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
41453046,THE ORIGINAL DREAM CAFE COMIDA LATINA,BRONX,239,EAST  165 STREET,10456,3475901872,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09/18/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,,05/21/2016,Cycle Inspection / Initial Inspection
41709170,CHINA 1 KITCHEN,MANHATTAN,609,MAIN STREET,10044,2125880806,Chinese,11/07/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,11/07/2013,05/21/2016,Cycle Inspection / Initial Inspection
40961538,SAIDY'S CAFE/DEEPDALE GARDENS COMMUNITY,QUEENS,5825,LITTLE NECK PACKWAY,11362,7187300318,American,06/16/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,,,05/21/2016,Cycle Inspection / Initial Inspection
41354417,ALI'S RESTAURANT,BROOKLYN,280,KNICKERBOCKER AVENUE,11237,7183662002,Middle Eastern,05/09/2014,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,05/09/2014,05/21/2016,Cycle Inspection / Initial Inspection
50007345,NAVY,MANHATTAN,137,SULLIVAN ST,10012,2125331137,American,04/01/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,37,,,05/21/2016,Cycle Inspection / Initial Inspection
41688842,SUSHI OF GARI TRIBECA,MANHATTAN,130,WEST BROADWAY,10013,2122850130,Japanese,06/16/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,14,B,06/16/2014,05/21/2016,Cycle Inspection / Re-inspection
50012794,Filomena's Pizza and Restaurant,BRONX,134,PENNYFIELD AVE,10465,3472819323,Pizza/Italian,02/25/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,02/25/2016,05/21/2016,Cycle Inspection / Initial Inspection
41461218,CHINA PEARL SEAFOOD RESTAURANT,QUEENS,8222,45 AVENUE,11373,7184783330,Chinese,08/14/2014,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,61,,,05/21/2016,Cycle Inspection / Initial Inspection
41677130,SAIGUETTE,MANHATTAN,935,COLUMBUS AVENUE,10025,2128666888,Vietnamese/Cambodian/Malaysia,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,01/12/2015,05/21/2016,Cycle Inspection / Initial Inspection
50018271,MOONSTRUCK (IN BELLEVUE),MANHATTAN,462,1ST AVE,10016,6466495304,American,01/29/2015,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,34,,,05/21/2016,Pre-permit (Operational) / Initial Inspection
41479435,NORTHERN SPY FOOD CO.,MANHATTAN,511,EAST   12 STREET,10009,2122285100,American,10/08/2013,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,24,,,05/21/2016,Cycle Inspection / Initial Inspection
41167273,LA OFICINA BAR,QUEENS,3920,104 STREET,11368,7184581300,American,05/03/2016,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,05/21/2016,Administrative Miscellaneous / Initial Inspection
40401556,HEIGHTS CAFE,BROOKLYN,84,MONTAGUE STREET,11201,7186255555,American,09/17/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,33,,,05/21/2016,Cycle Inspection / Initial Inspection
41409366,CAFE 11,MANHATTAN,11,BROADWAY,10004,2124252233,Jewish/Kosher,05/01/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,15,,,05/21/2016,Cycle Inspection / Initial Inspection
41603465,MEE CAFE,MANHATTAN,26,RUTGERS STREET,10002,6469960029,CafÃ©/Coffee/Tea,08/07/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,05/21/2016,Cycle Inspection / Initial Inspection
41523996,OLD HONG KONG,BRONX,539A,EAST TREMONT AVENUE,10457,6465757390,Chinese,09/03/2014,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,09/03/2014,05/21/2016,Cycle Inspection / Initial Inspection
40893866,DOMINO'S,MANHATTAN,227,WEST   40 STREET,10018,2129440400,Pizza,09/12/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,16,,,05/21/2016,Cycle Inspection / Initial Inspection
50050717,,QUEENS,7011,GRAND AVE,11378,9178920706,Other,01/01/1900,,,,Not Applicable,,,,05/21/2016,
50032726,KRAJA CAFE,STATEN ISLAND,837,FATHER CAPODANNO BLVD,10305,7183511551,Mediterranean,05/12/2016,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,48,,,05/21/2016,Cycle Inspection / Initial Inspection
41605053,BUKHARA GRILL,MANHATTAN,217,EAST   49 STREET,10017,2128882839,Indian,10/16/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,B,10/16/2013,05/21/2016,Cycle Inspection / Re-inspection
41536886,MR. TANG,BROOKLYN,2650,CONEY ISLAND AVE,11223,7187699444,Chinese,09/01/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
40799210,JOYA,BROOKLYN,215,COURT STREET,11201,7182223484,Thai,03/11/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,05/21/2016,Trans Fat / Initial Inspection
41604182,SUBWAY,BROOKLYN,1376,ROCKAWAY PARKWAY,11236,7186497550,American,07/12/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,07/12/2013,05/21/2016,Cycle Inspection / Initial Inspection
50017962,CHARRUA,MANHATTAN,131,ESSEX ST,10002,2126775838,Spanish,08/26/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,18,B,08/26/2015,05/21/2016,Cycle Inspection / Re-inspection
41468627,SOLIDE ROCHER RESTAURANT & BAKERY,BROOKLYN,3011,BEVERLY ROAD,11226,3474250661,Caribbean,06/13/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
41432588,TOASTIES,MANHATTAN,23,EAST   51 STREET,10022,2123717676,American,04/22/2015,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,05/21/2016,Administrative Miscellaneous / Re-inspection
41694248,LA NUEVA CARICIA RESTAURANT,MANHATTAN,1693,AMSTERDAM AVENUE,10031,2124913983,Mexican,09/30/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,09/30/2013,05/21/2016,Cycle Inspection / Re-inspection
40806791,GINGER'S BAR,BROOKLYN,363,5 AVENUE,11215,7187880924,Irish,10/05/2012,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,C,10/05/2012,05/21/2016,Cycle Inspection / Re-inspection
50018085,EARTH CAFE,MANHATTAN,2580,BROADWAY,10025,6469645167,American,10/19/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,10/19/2015,05/21/2016,Cycle Inspection / Re-inspection
41140987,NOL BU FOOD,QUEENS,14921A,41 AVENUE,11355,7186614076,Korean,10/16/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,05/21/2016,Cycle Inspection / Initial Inspection
50009340,SUSHI YU,BROOKLYN,214,PROSPECT PARK W,11215,7188328688,Japanese,06/17/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
41630478,PIZZA WORLD CAFE,BROOKLYN,1387,CONEY ISLAND AVENUE,11230,7187583572,Jewish/Kosher,10/29/2014,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,44,,,05/21/2016,Cycle Inspection / Initial Inspection
41626908,CAFFE STORICO,MANHATTAN,2,WEST   77 STREET,10024,2124859211,Italian,10/03/2013,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,15,,,05/21/2016,Cycle Inspection / Initial Inspection
41565686,THE LUTHERAN HALAL CAFE,BROOKLYN,5121,2 AVENUE,11232,7185678244,Delicatessen,01/07/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,B,01/07/2014,05/21/2016,Cycle Inspection / Re-inspection
41602559,RED CHOPSTICK,QUEENS,13617,41 AVENUE,11355,7186616655,Chinese,05/09/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,47,,,05/21/2016,Cycle Inspection / Initial Inspection
41372592,CELLO WINE BAR,MANHATTAN,229,EAST   53 STREET,10022,9174751131,American,08/01/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,7,A,08/01/2013,05/21/2016,Cycle Inspection / Re-inspection
50043956,24 HOUR FITNESS #290,QUEENS,8002,KEW GARDENS RD,11415,7187930910,"Juice, Smoothies, Fruit Salads",01/13/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,05/21/2016,Pre-permit (Operational) / Initial Inspection
41686184,OLI 99Â¢ FRESH PIZZA,BRONX,2,EAST BURNSIDE AVENUE,10453,7186180025,Pizza,12/10/2015,No violations were recorded at the time of this inspection.,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,05/21/2016,Administrative Miscellaneous / Initial Inspection
40990997,WENDY'S,MANHATTAN,335,5 AVENUE,10016,2128893899,Hamburgers,10/22/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,10/22/2014,05/21/2016,Cycle Inspection / Re-inspection
41070673,AMOR KARAOKE & BAR,QUEENS,7801,ROOSEVELT AVENUE,11372,7184247562,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/07/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,B,11/07/2015,05/21/2016,Cycle Inspection / Re-inspection
41310853,MOCA ASIAN BISTRO,QUEENS,10718,70 ROAD,11375,7182683333,Asian,07/13/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,46,,,05/21/2016,Cycle Inspection / Re-inspection
41452752,NAYA EXPRESS,MANHATTAN,686,3 AVENUE,10017,2125570007,Mediterranean,08/06/2013,Violations were cited in the following area(s).,05E,Toilet facility not provided for employees or for patrons when required.,Critical,18,B,08/06/2013,05/21/2016,Cycle Inspection / Re-inspection
40927698,YOKOHAMA JAPANESE RESTAURANT,BRONX,438,W 238TH ST,10463,7185492606,Japanese,06/01/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,06/01/2015,05/21/2016,Cycle Inspection / Re-inspection
40712081,M. RESTAURANT,BROOKLYN,195,BARBEY STREET,11207,7182772071,Spanish,07/09/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,07/09/2013,05/21/2016,Cycle Inspection / Initial Inspection
40733411,MCDONALD'S,MANHATTAN,102,1 AVENUE,10009,2124779171,Hamburgers,01/02/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,01/02/2015,05/21/2016,Cycle Inspection / Re-inspection
40390729,DENNIS' PLACE,BROOKLYN,1701,PITKIN AVENUE,11212,7184988406,American,10/17/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,10/17/2013,05/21/2016,Cycle Inspection / Re-inspection
41628145,SOLE OF THE SEA,BROOKLYN,527,ALBANY AVENUE,11203,6464173490,Seafood,02/19/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,02/19/2016,05/21/2016,Cycle Inspection / Initial Inspection
50017079,THE CLIFF,MANHATTAN,440,W 202ND AVE,10034,9176626895,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/08/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,05/08/2015,05/21/2016,Pre-permit (Operational) / Initial Inspection
41514518,LE BISTRO D'A COTE,MANHATTAN,1590,1 AVENUE,10028,2127729200,French,04/01/2014,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,6,A,04/01/2014,05/21/2016,Cycle Inspection / Re-inspection
41633118,I & R DELI,BROOKLYN,6908,15 AVENUE,11228,7182369102,Armenian,07/28/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,11,A,07/28/2015,05/21/2016,Cycle Inspection / Re-inspection
40836364,DEACON BRODIE'S,MANHATTAN,370,WEST 46 STREET,10036,2122621452,Irish,01/10/2013,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,10,A,01/10/2013,05/21/2016,Cycle Inspection / Re-inspection
