BusinessName,DBAName,LegalOwner,NameLast,NameFirst,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,Violation,ViolLevel,ViolDesc,VIOLDTTM,ViolStatus,StatusDate,Comments,Address,City,State,Zip,Property_ID,Location
ODYSSEY CRUISES,,MASS BAY LINES INC. FREEDOM,ODYSSEY CRUISES PREMIER YACHTS INC.,,24485,02/01/2012 03:02:49 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,07/12/2013 11:35:16 AM,04-3-501.15/4-301.11,*,Inadequate Facilities/Cooling Methods,07/12/2013 11:35:16 AM,Fail,,There is chicken and pork loin cooling in the reach in that is stacked four of five hotel pans high.  There is condensation on the inside of the pans and the chicken is still 50F.  Provide proper cooling to ensure that items drop from 140F to 70F in two hours and then from 70F to 41F in an additional four hours.,60  Rowes Wh,Boston,MA,02110,156112,"(42.356532, -71.050251)"
Little Caesars,,,A.H.M. Enterprises Inc.,,121632,11/01/2013 10:10:18 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,01/27/2014 01:36:46 PM,25-4-904.11,*,Single Service Articles Stored Dispensed,01/27/2014 01:36:46 PM,Fail,,store all paper goods off the floor at least 6 inches ( corrected at inspection ),628   American Legion HW,Roslindale,MA,02131,172176,"(42.284551, -71.110244)"
Uno Chicago Grill,,SPENCER AARONN D,UNO RESTAURANTS,LLC  LEGAL DEPARTMENT,18958,01/09/2012 03:53:57 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,03/26/2015 11:35:16 AM,M-2-103.11,***,PIC Performing Duties,03/26/2015 11:35:16 AM,Pass,2015-03-26 15:36:00,Re-train the staff with regard to hand wash sink usage  cold holding and food storage. Maintain establishment clean and free of  soil and debris.,727   Boylston ST,Boston,MA,02116,18385,"(42.349589, -71.080292)"
Uno Chicago Grill,,SPENCER AARONN D,UNO RESTAURANTS,LLC  LEGAL DEPARTMENT,18958,01/09/2012 03:53:57 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,04/27/2012 11:53:05 AM,29-5-201/02.11,*,Installed and Maintained,04/27/2012 11:53:05 AM,Pass,2012-04-27 15:21:29,Condensor fan leaking  repair.,727   Boylston ST,Boston,MA,02116,18385,"(42.349589, -71.080292)"
Union Club of Boston,,UNION CLUB OF BOSTON INC,UNION CLUB OF BOSTON INC,,18725,12/13/2011 11:17:44 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,02/26/2009 10:51:10 AM,22-4-601/602.11,**,Food Contact Surfaces Clean,02/27/2009 07:36:04 AM,Fail,,Prep areas -Clean interior of ice machine.,8   Park ST,Boston,MA,02108,107194,"(42.3575, -71.0627)"
Panera Bread,,,Boston Bread LLc,Attn: Lori Engel,26330,01/18/2012 04:43:59 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,09/09/2011 11:34:18 AM,14-4-202.11,*,Food Contact Surfaces Design,09/09/2011 11:34:18 AM,Fail,,Interior/exterior of ice machine dirty.Clean on a regular consistent basis(Recommend 1x monthly).,200   High ST,Boston,Ma,02110,,
Double Tree Club Hotel,,BOSTON REDEVELOPMENT AUTH,C.J. WASHINGTON STREET L.L.C.,,21472,03/09/2012 11:17:16 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,05/09/2014 11:49:48 AM,24-4-904.11AB,*,Improper Storage of Re-usable Utensils,05/09/2014 11:49:48 AM,Fail,,Ice bucket not inverted,821    Washington ST,BOSTON,MA,02116,,
CAFE ESPLANADE,,,Pamela Bardhi,,91465,07/02/2013 08:38:33 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,06/27/2013 10:38:18 AM,42-6-501.113/.114,*,Premises Maintained,06/27/2013 10:38:18 AM,Fail,,provide properly enclosed mop sink per plans,0   David G Mugar WY,Boston,MA,02108,46576,"(42.355594, -71.074207)"
Minina's Cafe,,ROSA JOSE TS,Jose Rosa,,74391,02/01/2012 01:10:59 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,08/15/2014 11:36:04 AM,15-4-202.16,*,Non-Food Contact Surfaces,08/15/2014 11:36:04 AM,Pass,2014-08-15 15:52:10,No vent cover  at refrigerator  provide.,430   Geneva AV,Dorchester,MA,02122,63341,"(42.30059, -71.06637)"
The Kitchen,,POCKEL JEANNE C TRSTS,Herritt,Scott,79722,06/13/2012 10:16:32 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Hearing,04/02/2014 02:16:08 PM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,04/02/2014 02:16:08 PM,Pass,2014-04-03 09:15:08,Chipped paint on walls  doors etc. Seal all opening in walls.,560   Tremont ST,Roxbury,MA,02118,137658,"(42.34363, -71.07176)"
Double Tree Club Hotel,,BOSTON REDEVELOPMENT AUTH,C.J. WASHINGTON STREET L.L.C.,,21472,03/09/2012 11:17:16 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,03/17/2015 11:02:35 AM,20-4-703.11,***,Food Contact Surfaces Clean,03/17/2015 11:02:35 AM,Fail,,Low temp dish machine must maintain 50 - 100 PPM  PIC does not have proper test kit to determine sanitation.,821    Washington ST,BOSTON,MA,02116,,
Tavolo,,,Trinity Ashmont Restaurant LLC,Chris Douglass,28452,02/06/2012 01:24:23 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,07/09/2009 12:09:44 PM,37-6-201.11,*,Walls/Ceilings Designed Constructed Installed,07/10/2009 08:51:23 AM,Fail,,clean grease filters of dust build up,1917   DORCHESTER,DORCHESTER,MA,02124,,
Durgin Park Restaurant,,,Weinstein,Michael,24748,02/13/2012 11:17:17 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,08/12/2013 11:37:12 AM,29-5-201/02.11,*,Installed and Maintained,08/12/2013 11:37:12 AM,Pass,2013-08-12 15:24:27,Basement -Repair insulation to plumbing at customer ice bin.,300  Faneuil Hall Marketplace,Boston,MA,02109,341035,"(42.360036, -71.056253)"
No.  7 RESTAURANT,,,HUANG FAMILY INC.,REN XIANGHUANG  PRES.,25414,02/08/2012 04:32:36 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,01/25/2013 12:45:58 PM,15-4-202.16,*,Non-Food Contact Surfaces,01/25/2013 12:45:58 PM,Pass,2013-01-28 09:02:18,remove all tape on food containers and equipment....replace all worn stools..replace mlody caulking at 3 compartment sink...replace all defective doorgaskets...elevate all shelving 6 to 8 inches off the floor...,225   Grove ST,West Roxbury,MA,02132,156965,"(42.261873, -71.15741)"
Happy Garden,,,Brighton Ventures Inc.,,24662,01/31/2012 01:17:53 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,01/13/2014 02:37:25 PM,08-3-305-307.11,*,Food Protection,01/13/2014 02:37:25 PM,Pass,2014-01-13 15:41:09,The freezer and refrigerator are overcrowded.  There are items stored in the coolers that are unwrapped and large amounts of items stored on the ground.  store items elavated and wrapped.,377   Washington ST,Brighton,MA,02135,156389,"(42.349291, -71.15428)"
Happy Garden,,,Brighton Ventures Inc.,,24662,01/31/2012 01:17:53 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,01/13/2014 02:37:25 PM,M-2-101.11,***,Person in charge Assigned,01/13/2014 02:37:25 PM,Fail,,There is no person in charge assigned and there are numerous risk factor violations.  Provide an additional certified manager to control risk factors at the establishment.,377   Washington ST,Brighton,MA,02135,156389,"(42.349291, -71.15428)"
DAYIB CAFE,,ABDULLAH FARAH ANSHUR,ABDULLAH FARAH ANSHUR,,22700,02/13/2012 12:56:03 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,11/20/2009 10:32:36 AM,15-4-202.16,*,Non-Food Contact Surfaces,11/20/2009 10:32:36 AM,Fail,,hot line/replace worn table with food service grade table,722   Shawmut AV,Roxbury,MA,02119,157649,"(42.332783, -71.083221)"
Uno Chicago Grill,,NICOLE E. ADAMS,NICOLE E. ADAMS,,19118,01/09/2012 03:55:20 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,11/16/2010 11:04:49 AM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,11/16/2010 11:04:49 AM,Pass,2010-11-16 15:15:06,dishroom/replace worn/loose ceiling tiles/clean walls behind dishmachine,270   HUNTINGTON  AV,BOSTON,MA,02125,,
Slush King,,,KIM NOLAN & MARK NOLAN,,19010,02/15/2012 09:42:58 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,05/07/2010 12:44:37 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,05/07/2010 12:44:37 PM,Pass,2010-05-10 08:43:43,Clean shelving - outside of all food containers - outside of portable coolers - inside and outside of three bay sink from old food stains and soils,211   BENNINGTON,EAST BOSTON,MA,02128,,
J J Foley's Cafe,,FOLEY JEREMIAH,J J Foley's Cafe,Inc.,27092,01/31/2012 06:21:48 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_NotReq,06/27/2007 03:48:00 PM,,,,,,,,117   EAST BERKELEY,BOSTON,MA,02118,,
Dunkin Donuts,,COUTO JOSE S.,JOSE S. COUTO PRES.,C/O COUTO MANAGEMENT,18326,02/13/2012 10:07:55 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,06/02/2014 12:46:32 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,06/02/2014 12:46:32 PM,Fail,,General cleaning of the interior cabinets at front counter area.,4175   WASHINGTON,ROSLINDALE,MA,02131,,
Morgan Lewis & Bockius LLP,Flik International,JAMESTOWN ONE FEDERAL LP,Flik International,Peter Molloy,29909,02/29/2012 12:02:02 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,03/04/2010 08:16:38 AM,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,03/04/2010 08:16:38 AM,Pass,2010-03-04 08:35:18,Sinage missing at handsinks.,1   Federal ST,Boston,MA,02110,57149,"(42.3561, -71.05695)"
Aramark at Houghton Mifflin,,TWO TWENTY TWO BERKELEY,ARAMARK,C/O JARED LESSARD,24693,02/15/2012 01:55:00 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,02/17/2009 10:19:24 AM,17-4-302.14,*,Test Kit Provided,02/18/2009 08:23:16 AM,Pass,2009-02-18 08:23:16,Improper warewashing instructions.,222   Berkeley ST,Boston,MA,02116,15007,"(42.35084, -71.07311)"
Eaton Vance Harbor Cafe (13th fl.),,,Prince Street Caterers,,32124,01/06/2012 03:25:41 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,02/07/2012 11:17:32 AM,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,02/07/2012 11:17:32 AM,Fail,,There are no paper towels or paper towel dispenser at the handsink on the cooking line.  Provide.,2   International PL,Boston,Ma,02110,,
West Napoli Pizza,,VRATTOS SOCRATES TS,BARDHI,SOKOL,21409,06/06/2012 03:38:02 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,06/02/2009 11:50:32 AM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,06/02/2009 03:35:45 PM,Pass,2009-06-02 15:35:45,clean fan inside and out to removell dust and soil,1946  Centre St,West Roxbury,MA,02132,27764,"(42.28358, -71.15676)"
FLOUR BAKERY & CAFE,,,JOANNE CHANG,,21518,01/26/2012 03:07:20 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,12/05/2008 03:31:48 PM,14-4-202.11,*,Food Contact Surfaces Design,12/05/2008 03:42:52 PM,Pass,2008-12-05 15:42:52,replace all worn white cutting boards,1595   Washington ST,Roxbury,MA,02114,157458,"(42.338323, -71.07488)"
Minina's Cafe,,ROSA JOSE TS,Jose Rosa,,74391,02/01/2012 01:10:59 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,04/24/2015 12:29:20 PM,29-5-201/02.11,*,Installed and Maintained,04/24/2015 12:29:20 PM,Fail,,water draining slowly at hand sink  repair.,430   Geneva AV,Dorchester,MA,02122,63341,"(42.30059, -71.06637)"
Anshur Restauruant,,REARDON THOMAS B,Anshur,Abdullah F.,31241,02/08/2012 03:13:24 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Hearing,10/05/2015 08:41:53 AM,32-6-501.11-.12/6-202.14,*,Toilet Enclosed Clean,10/05/2015 08:41:53 AM,Fail,,post employee handwash signage  papertowels /handsoap...,291   Roxbury ST,Roxbury,MA,02119,119179,"(42.33041, -71.0943)"
FENWAY PARK H.M.S. INC.,,JACK LYONS  MANAGER,FENWAY PARK H.M.S. INC.,,18275,10/27/2008 10:04:53 AM,12/31/2008 11:59:00 PM,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,07/09/2008 10:48:12 AM,10-4.302.11,*,Food Utensil Storage,07/10/2008 09:07:09 AM,Fail,,Staff observed scooping ice out of ice unit with a non handled utensil at Pavilion 3.,4  Yawkey Wy,Boston,MA,02215,156417,"(42.346723, -71.09868)"
FENWAY PARK H.M.S. INC.,,JACK LYONS  MANAGER,FENWAY PARK H.M.S. INC.,,18275,10/27/2008 10:04:53 AM,12/31/2008 11:59:00 PM,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,07/09/2008 10:48:12 AM,12-3--301.11,***,Prevention of Contamination from Hands,07/10/2008 09:07:09 AM,Fail,,Staff observed touching unwrapped portion of icecream cone at LY1.,4  Yawkey Wy,Boston,MA,02215,156417,"(42.346723, -71.09868)"
WAI WAI ICE CREAM SHOP,,WONG SHU YING TRSTS,HUI,DAVID,24990,01/06/2012 09:20:52 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,01/26/2015 10:10:47 AM,16-4-501.11/.15,*,Dishwashng Facilities,01/26/2015 10:10:47 AM,Fail,,Missing plugs for each bay of 3 bay sink,26   Oxford ST,Boston,MA,02111,106209,"(42.35168, -71.06027)"
Burger King,,,MASTORAN CORP.,,19935,12/16/2011 09:50:24 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,05/21/2014 12:33:51 PM,29-5-201/02.11,*,Installed and Maintained,05/21/2014 12:33:51 PM,Pass,2014-05-21 15:31:14,Repair drain to office hand sink.,944   Bennington ST,East Boston,MA,02128,155885,"(42.386166, -71.00953)"
MCKENNA'S CAFE,,KENNETH OSHEROW  PRES.,KENNETH OSHEROW PRES.,,23628,12/28/2011 09:11:33 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,11/19/2014 08:45:48 AM,16-4-501.11/.15,*,Dishwashng Facilities,11/19/2014 08:45:48 AM,Pass,2014-12-05 08:47:36,Replace missing sink plugs at ware washing sink.,109   Savin Hill AV,Dorchester,MA,02125,156864,"(42.311515, -71.05382)"
SQUEALING PIG,,COLE SARA TS,SARA COLE PRES.,,20872,02/15/2012 10:30:32 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,12/03/2015 10:38:22 AM,29-5-201/02.11,*,Installed and Maintained,12/03/2015 10:38:22 AM,Fail,,ladies restroom/repair faucet handle mens restroom/repair urinal to flush properly kitchen handsink/repair hot water faucet handle,134   Smith ST,Roxbury,MA,02120,128190,"(42.33471, -71.10204)"
DAYIB CAFE,,ABDULLAH FARAH ANSHUR,ABDULLAH FARAH ANSHUR,,22700,02/13/2012 12:56:03 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,12/19/2013 12:39:13 PM,20-4-703.11,***,Food Contact Surfaces Clean,12/19/2013 12:39:13 PM,Pass,2013-12-19 15:16:45,3 bay sink/provide institutional sanitizer,722   Shawmut AV,Roxbury,MA,02119,157649,"(42.332783, -71.083221)"
Cafeteria Y Pizzaria Mi Columbia,,,E.B. Crown Fried Chicken & Pizza Inc.,,124996,01/09/2014 01:41:04 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,05/11/2015 10:51:37 AM,17-4-302.14,*,Test Kit Provided,05/11/2015 10:51:37 AM,Fail,,Provide test kit for sanitizer,50   Maverick SQ,East Boston,MA,02128,92897,"(42.37017, -71.03868)"
NEW YORK FRIED CHICKEN & PIZZA,,AYAZ A. SHAH,AYAZ A. SHAH,,23286,05/02/2012 11:48:20 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,11/27/2012 02:21:39 PM,05-4-302.12,*,Food Thermometers Provided,11/27/2012 02:21:39 PM,Fail,,No food thermometer in kitchen. Provide.,531   Columbia RD,Dorchester,MA,02125,156840,"(42.315432, -71.06626)"
Durgin Park Restaurant,,,Weinstein,Michael,24748,02/13/2012 11:17:17 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,11/08/2007 10:09:28 AM,08-3-305-307.11,*,Food Protection,11/08/2007 01:16:57 PM,Fail,,first floor-remove glue traps from icemachine- in basement bar provide door for opening in icemachine-,300  Faneuil Hall Marketplace,Boston,MA,02109,341035,"(42.360036, -71.056253)"
ZESTO'S PIZZA,,FOUR 60-468 CENTRE STREET,K & M Pizza Inc.,,75590,12/12/2011 12:47:41 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,01/15/2014 02:49:46 PM,22-4-601/602.11,**,Food Contact Surfaces Clean,01/15/2014 02:49:46 PM,Pass,2014-01-15 15:41:51,Can opener in basement soiled with dry food. Clean to remove.,460   Centre ST,Jamaica Plain,MA,02130,28061,"(42.31935, -71.11154)"
A K's Take Out & Delivery,,BOUKOUVALAS ATHENA TS,Saini,Jasbir,28531,12/20/2011 02:29:52 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,03/13/2008 09:10:37 AM,03-3-501.16,***,Hot Holding,03/13/2008 03:33:50 PM,Pass,2008-03-13 15:33:50,mashed potato 110 degrees baked beans 114 degrees,1427   Tremont ST,Mission Hill,MA,02120,136818,"(42.331858, -71.096333)"
Peggy O'Neil's Pub & Grille,,LIMERICK CO INC,LIMERICK CO INC,,19097,12/13/2011 03:15:33 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,05/08/2009 01:48:24 PM,13-2-304/402.11,*,Clean Cloths  Hair Restraint,05/11/2009 08:04:21 AM,Pass,2009-05-11 08:04:21,,1310   DORCHESTER  AV,DORCHESTER,MA,02122,,
ROSLINDALE HOUSE OF PIZZA,,,VASSILIOS GLYKIS,,19964,01/06/2012 10:23:12 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,04/21/2011 02:23:55 PM,17-4-302.14,*,Test Kit Provided,04/21/2011 02:23:55 PM,Pass,2011-04-21 15:45:35,There are no chlorine test strips to test sanitizer in the buckets.  Provide chlorine test strips.,4168   Washington ST,Roslindale,MA,02131,157416,"(42.287818, -71.126399)"
N.E. Deaconess Hospital Cafe,,BETH ISRAEL DEACONESS,SODEXO OPERATIONS L L C,,26029,02/15/2012 09:27:05 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,05/14/2013 01:46:08 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,05/14/2013 01:46:08 PM,Pass,2013-05-15 07:58:57,1) side of convection oven with grease build up  clean to remove 2) interior cabinet of fryer with grease build up  clean to remove 3) interior of hot hold cabinet with soils  clean to remove 4) top of pot wash machine with build up and debris  clean to remove,1    Deaconess RD,BOSTON,MA,02215,,
J J Foley's Cafe,,FOLEY JEREMIAH,J J Foley's Cafe,Inc.,27092,01/31/2012 06:21:48 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,12/31/2009 12:48:15 PM,M-2-102.11,***,PIC Knowledge,12/31/2009 12:48:15 PM,Fail,,Provide a certified mgr.,117   EAST BERKELEY,BOSTON,MA,02118,,
Ester,,,2261 Dot LLC.,LLC,127375,04/08/2014 09:58:35 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,04/28/2015 01:06:34 PM,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,04/28/2015 01:06:34 PM,Fail,,No paper towels at hand sink in the basement preparation area. Provide.,2261   Dorchester AV,Dorchester,MA,02124,48561,"(42.27317, -71.06801)"
Panera Bread,,,Boston Bread LLc,Attn: Lori Engel,26330,01/18/2012 04:43:59 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,09/13/2011 11:37:05 AM,12-2-301.12-.15,***,Adequate Handwashing/Where/When/How,09/13/2011 11:37:05 AM,Pass,2011-09-14 08:27:44,Insufficient handwashing observed from staff performing multiple tasks.Staff observed handling trash then clean dishes.Staff observed handling both soiled and clean equipment/utensils without any handwashing.The only person observed washing hands was store manager.Please provide a heavy focus on adequate handwashing(when how etc.).,200   High ST,Boston,Ma,02110,,
PATS PIZZA,,LOWER MILLS RESTAURANT,LOWER MILLS RESTAURANT,GROUP LLC,24124,12/19/2011 11:01:23 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,10/19/2011 11:19:43 AM,29-5-201/02.11,*,Installed and Maintained,10/19/2011 11:19:43 AM,Fail,,repair leaky handsink and adjust to wall..,2254   Dorchester AV,Dorchester,MA,02124,156905,"(42.273506, -71.067541)"
Qdoba Mexican Eats No. 2207,,CHAIR 5 RESTAURANTS LLC,Qdoba Mexican Grill #,Attn: Restaurant Accounting,75515,01/05/2012 01:57:51 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,09/24/2012 11:56:15 AM,37-6-201.11,*,Walls/Ceilings Designed Constructed Installed,09/24/2012 11:56:15 AM,Fail,,,393   Huntington AV,Boston,MA,02115,157313,"(42.339776, -71.090882)"
Hungry Traveler,,,Jisung Oh,,31164,01/17/2012 04:29:57 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,03/20/2013 10:37:21 AM,24-4-903.11,*,Clean Equipment & Utensils Storage,03/20/2013 10:37:21 AM,Fail,,Stacking wet equipment. Not allowing for proper airdrying.,27   COURT SQ SQ,BOSTON,MA,02108,,
Habibi's Lounge,,TALE CONSTANTINE G,Daoud Tayeh,,31949,12/29/2011 10:47:58 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Hearing,12/29/2015 02:36:34 PM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,12/29/2015 02:36:34 PM,Pass,2015-12-29 15:47:43,Dusty light/vent.,1213   Commonwealth AV,Allston,MA,02134,37122,"(42.35081, -71.130724)"
A K's Take Out & Delivery,,BOUKOUVALAS ATHENA TS,Saini,Jasbir,28531,12/20/2011 02:29:52 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,03/25/2013 11:57:05 AM,23-4-602.13,*,Non-Food Contact Surfaces Clean,03/25/2013 11:57:05 AM,Fail,,hot line/clean all silver shelving hot line/clean grill drawers clean interior/exterior of all cooking equipment and reach in units clean pizza oven,1427   Tremont ST,Mission Hill,MA,02120,136818,"(42.331858, -71.096333)"
Masona Grill,,JOF REALTY LLC,Masona Inc.,,28939,01/18/2012 05:50:35 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,10/01/2009 12:39:33 PM,36-6-501.11-.12,*,Improper Maintenance of Floors,10/01/2009 03:34:58 PM,Pass,2009-10-01 15:34:58,Clean floor of grime under  around behind equipment. Clean soils from walk-in floor. Resurface if not cleanable.,2  Corey St,West Roxbury,MA,02132,42766,"(42.28468, -71.15523)"
Levy Premium Main Kitchen & Commissary,,MASS CONVENTION CENTER AUTH,Levy Premium Foodservice Ltd.,Tim Townsell,68093,12/13/2011 04:01:07 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,04/25/2012 12:13:44 PM,,,,,,,,415  Summer St,Boston,MA,02210,132014,"(42.344449, -71.044821)"
EL PENOL RESTAURANT,,,MIGUEL A. MEDINA BALBIN,,23581,12/29/2011 09:39:51 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,08/10/2015 03:36:04 PM,09-3-301.11(C),*,Handling of Food & Ice,08/10/2015 03:36:04 PM,Fail,,Provide scoops with handles to bulk food containers.,54   Bennington ST,East Boston,MA,02128,156292,"(42.375798, -71.037101)"
Minina's Cafe,,ROSA JOSE TS,Jose Rosa,,74391,02/01/2012 01:10:59 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,07/01/2011 02:37:51 PM,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,07/01/2011 02:37:51 PM,Pass,2011-07-05 07:51:58,Soiled wiping cloths being left out on counter tops. Discontinue and provide proper sanitizing solution.,430   Geneva AV,Dorchester,MA,02122,63341,"(42.30059, -71.06637)"
DAYIB CAFE,,ABDULLAH FARAH ANSHUR,ABDULLAH FARAH ANSHUR,,22700,02/13/2012 12:56:03 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,05/09/2008 01:30:43 PM,35-6-501.111/.115,**,Insects  Rodents  Animals,05/09/2008 03:26:09 PM,Pass,2008-05-09 15:26:09,steamtable/clean lower shelving/remove evidence of rodent droppings,722   Shawmut AV,Roxbury,MA,02119,157649,"(42.332783, -71.083221)"
Uno Chicago Grill,,NICOLE E. ADAMS,NICOLE E. ADAMS,,19118,01/09/2012 03:55:20 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,02/04/2010 10:03:45 AM,15-4-202.16,*,Non-Food Contact Surfaces,02/04/2010 10:03:45 AM,Fail,,reach in units/remove brown paper from interior of units,270   HUNTINGTON  AV,BOSTON,MA,02125,,
Momogoose 2,,,Smart Gourmet LLC,Loc Vo,68113,12/14/2011 02:53:19 PM,12/31/2016 11:59:00 PM,Active,MFW,Mobile Food Walk On,HE_Pass,10/22/2015 01:10:41 PM,13-2-304/402.11,*,Clean Cloths  Hair Restraint,10/22/2015 01:10:41 PM,Pass,2015-10-22 15:49:35,PIC without hair restraint .Provide,1   Citywide ST,Boston,MA,02128,0,
UNION OYSTER HOUSE,,MILANO JOSEPH A JR TRST,MILANO,JOSEPH A.,19089,12/14/2011 02:11:17 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,05/10/2013 11:03:52 AM,15-4-202.16,*,Non-Food Contact Surfaces,05/10/2013 11:03:52 AM,Pass,2013-05-13 08:04:20,Refinishlobster scale.,41  Union St,Boston,MA,02108,139293,"(42.36127, -71.05688)"
WINDY CITY AT ADAMS VILLAGE,,BAYTURK MUZAFFER,BAYTURK MUZAFFER,,19800,02/13/2012 10:40:46 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,02/17/2010 11:40:46 AM,22-4-601/602.11,**,Food Contact Surfaces Clean,02/17/2010 11:40:46 AM,Pass,2010-02-18 09:18:53,,516   Gallivan BL,Dorchester,MA,02124,156552,"(42.282928, -71.055559)"
