ADDRESS,OPERATION NAME,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL # CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"976 SOUTH LAKE BOULEVARD,  MAHOPAC",SEA CHIC/Inactive/MCLAUGHLIN,04/04/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,4,Putnam County,PUTNAM,39-AB62   ,976 SOUTH LAKE BOULEVARD,MAHOPAC,10541    ,395000,CARMEL,,Food Service Establishment,Restaurant,,SEA CHIC CORP.,MCLAUGHLIN,COREY,789217,Inspection,,NY,41.372218,-73.735499
"ONE DEPOT SQUARE,  COLD SPRING",COLD SPRING DEPOT / ROLSTON/Inactive,04/29/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,5,Putnam County,PUTNAM,39-AA53   ,ONE DEPOT SQUARE,COLD SPRING,10516    ,395300,PHILIPSTOWN,,Food Service Establishment,Restaurant,COLD SPRING DEPOT REST,KEMLYT ASSOC. INC.,ROLSTON,TOM,299358,Inspection,,NY,41.417128,-73.959566
"961 U.S. 6,  MAHOPAC",Our Town Bagels and Bakery/Inactive,09/18/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Putnam County,PUTNAM,39-AH16   ,961 U.S. 6  ,MAHOPAC,10541    ,395000,CARMEL,,Food Service Establishment,Catering Operation,,LACAKES LLC,AMODEO,MARIA,871180,Inspection,,NY,,
"122 FOURTH  STREET,  TROY",ITALIA PIZZERIA/Inactive,10/13/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Rensselaer County,RENSSELAER,41-T379   ,122 FOURTH  STREET,TROY,12180    ,410202,TROY,,Food Service Establishment,Food Service Establishment,,SHAKHBAZOV FIRUDDIN,Firuddin,Shakhbazov,751990,Inspection,,NY,42.728958,-73.689417
"501 COLUMBIA  TURNPIKE,  RENSSELAER",SUBWAY #12094/Inactive,04/13/2011,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,3,Rensselaer County,RENSSELAER,41-EG-64  ,501 COLUMBIA  TURNPIKE,RENSSELAER,12144    ,415200,E. GREENBUSH,02/28/2013,Food Service Establishment,Restaurant,,DRAPER DEVELOPMENT LLC,JASENSKI,LAWRENCE ,301397,Inspection,,NY,,
"674  COLUMBIA  TURNPIKE,  EAST GREENBUSH",EVERYBODY'S CAFE/Inactive,09/12/2012,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Rensselaer County,RENSSELAER,41-EG89   ,674  COLUMBIA  TURNPIKE,EAST GREENBUSH,12061    ,415200,E. GREENBUSH,,Food Service Establishment,Restaurant,,,Snyder,Mac,301947,Inspection,,NY,42.589865,-73.700846
"620 STATE STREET,  SCHENECTADY",CHIA BOB'S BISTRO CAFE/Dormant,10/03/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,2,Schenectady County,SCHENECTADY,46-AN22   ,620 STATE STREET,SCHENECTADY,12305    ,460100,SCHENECTADY,12/31/2016,Food Service Establishment,Restaurant,,CHIA BOB'S BISTRO CAFE,LALONDE,EILEEN ,305734,Inspection,,NY,42.810476,-73.939272
"262 SARATOGA  ROAD,  GLENVILLE",BISCOSSI CORP/Dormant,12/05/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,1,Schenectady County,SCHENECTADY,46-AE11   ,262 SARATOGA  ROAD,GLENVILLE,12302    ,465104,GLENVILLE,06/30/2009,Food Service Establishment,Restaurant,,BISCOSSI CORP,BISCOSSI,JOSEPH,306245,Inspection,,NY,,
"1549 CARRIE STREET,  SCHENECTADY",RUPSIS TAVERN/Inactive,11/05/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Schenectady County,SCHENECTADY,46-AN92   ,1549 CARRIE STREET,SCHENECTADY,12308    ,460100,SCHENECTADY,12/31/2008,Food Service Establishment,Tavern,,,RUPSIS,RICHARD,305804,Inspection,,NY,,
"1631 EASTERN PARKWAY,  SCHENECTADY",FIRESIDE PIZZERIA/Inactive,01/29/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Schenectady County,SCHENECTADY,46-AM72   ,1631 EASTERN PARKWAY,SCHENECTADY,12309    ,460100,SCHENECTADY,12/31/2011,Food Service Establishment,Restaurant,,FIRESIDE PIZZERIA INC,ATTANASIO,GARY,305670,Inspection,,NY,,
"1866 STATE  STREET,  SCHENECTADY",MEL'S COUNTER/Inactive,02/18/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,1,Schenectady County,SCHENECTADY,46-BK13   ,1866 STATE  STREET,SCHENECTADY,12304    ,460100,SCHENECTADY,12/31/2010,Food Service Establishment,Food Service Establishment,,,WILSON,EDWARD,715871,Inspection,,NY,,
"1001 CURRY ROAD,  ROTTERDAM","FU SING CHINESE RESTAURANT,INC/Inactive",02/24/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,4,Schenectady County,SCHENECTADY,46-AX55   ,1001 CURRY ROAD,ROTTERDAM,12306    ,465400,ROTTERDAM,06/30/2011,Food Service Establishment,Restaurant,,,WANG,AI ZHONG,428452,Inspection,,NY,,
"2309 NOTT STREET,  NISKAYUNA","GOLDEN PHOENIX, THE/Inactive",04/20/2011,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,3,Schenectady County,SCHENECTADY,46-AD87   ,2309 NOTT STREET,NISKAYUNA,12309    ,465201,NISKAYUNA,06/30/2014,Food Service Establishment,Restaurant,,CHAN'S RESTAURANT BUFFET INC.,ZHENG,CHENG,305859,Inspection,,NY,42.815434,-73.890786
"93 WEST CAMPBELL ROAD,  ROTTERDAM",RISE N SHINE COFFEE SHOP/Inactive,08/22/2012,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,1,Schenectady County,SCHENECTADY,46-AD42   ,93 WEST CAMPBELL ROAD,ROTTERDAM,12306    ,465400,ROTTERDAM,06/30/2013,Food Service Establishment,Food Service Establishment,,RISE N SHINE,CHAWLA,JASWINDER,788515,Inspection,,NY,42.810308,-73.989769
"1754 STATE STREET,  SCHENECTADY",YAMA SUSHI/Inactive,12/22/2015,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Schenectady County,SCHENECTADY,46-BG31   ,1754 STATE STREET,SCHENECTADY,12304    ,460100,SCHENECTADY,12/31/2016,Food Service Establishment,Restaurant,,"JAPANICA OF NEW YORK, INC",YAMAGUCHI,KATSUTOSHI,891171,Inspection,,NY,,
"941 ROUTE 38,  OWEGO",HARVARD  MANUFACTURING CAFETERIA/Inactive,11/01/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,0,Tioga County,TIOGA,53-4473   ,941 ROUTE 38  ,OWEGO,13827    ,535500,OWEGO,12/31/2009,Food Service Establishment,Food Service Establishment,,"AMERICAN FOOD & VENDING SERVICE, INC",GRIFFIN,DANIELLE,312431,Inspection,,NY,,
"460 BROAD STREET,  WAVERLY",LEFTY'S All American Grill & BBQ/Inactive,11/27/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,2,5,Tioga County,TIOGA,53-4692   ,460 BROAD STREET,WAVERLY,14892    ,532000,BARTON,05/31/2009,Food Service Establishment,Restaurant,,,D'ALOISIO,THOMAS,311946,Inspection,,NY,,
"40 CATHERWOOD ROAD,  ITHACA",MO'S PIT BARBECUE & COWBOY CUISINE/Inactive,10/20/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Tompkins County,TOMPKINS,54-AC72   ,40 CATHERWOOD ROAD,ITHACA,14850    ,542300,LANSING,12/31/2010,Food Service Establishment,Food Service Establishment,,,MORRISSEY,KEVIN,718003,Inspection,,NY,,
"708 WEST BUFFALO STREET,  ITHACA",CAYUGA LAKE CRUISES & CORKS & MORE WINE B/Inactive,06/13/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Tompkins County,TOMPKINS,54-AC25   ,708 WEST BUFFALO STREET,ITHACA,14850    ,540100,ITHACA,06/30/2016,Food Service Establishment,Restaurant/Catering Operation,,CAYUGA LAKE CRUISES INC,BLISS,BJ,662317,Inspection,,NY,42.440965,-76.511505
"24-28 BROADWAY,  KINGSTON",THE GOLDEN GINZA (old)/Inactive/Inactive,05/30/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,8,Ulster County,ULSTER,55-01161  ,24-28 BROADWAY  ,KINGSTON,12401    ,550100,KINGSTON,,Food Service Establishment,Food Service Establishment,,"GOLDEN GINZA, INC.",HUANG,YI,316375,Inspection,,NY,41.918952,-73.983232
"61 WALLKILL AVENUE,  WALLKILL",CHINA KITCHEN (old)/Inactive,06/16/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,12,Ulster County,ULSTER,55-66002  ,61 WALLKILL AVENUE,WALLKILL,12589    ,556600,SHAWANGUNK,,Food Service Establishment,Food Service Establishment,,,TENG,WU,316434,Inspection,,NY,41.60952,-74.18581
"53 NORTH FRONT STREET,  KINGSTON","LIN'S WING SHUI CHINESE RESTAURANT, INC./Inactive",02/03/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,3,Ulster County,ULSTER,55-01002  ,53 NORTH FRONT STREET,KINGSTON,12401    ,550100,KINGSTON,,Food Service Establishment,Food Service Establishment,,"LIN'S WING SHUI CHINESE RESTAURANT, INC. ",LIN,LUN YAN ,316187,Inspection,,NY,41.935161,-74.020975
"636 BROADWAY,  KINGSTON",SOPHIA'S KITCHEN/Inactive,04/16/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,7,Ulster County,ULSTER,55-01100  ,636 BROADWAY  ,KINGSTON,12401    ,550100,KINGSTON,02/28/2015,Food Service Establishment,Food Service Establishment,,,MICHAEL,JAMES,316380,Inspection,,NY,41.930173,-74.006035
"364 BROADWAY,  KINGSTON",LUCKY SUNSHINE RESTAURANT/Inactive,08/06/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,10,Ulster County,ULSTER,55-01090  ,364 BROADWAY  ,KINGSTON,12401    ,550100,KINGSTON,,Food Service Establishment,Food Service Establishment,,,XIN ZHANG,YI ,316184,Inspection,,NY,41.926047,-73.993967
"100 CORNELL STREET,  KINGSTON",VILLA CARMELLA/Inactive,10/01/2012,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,15,Ulster County,ULSTER,55-01093  ,100 CORNELL STREET,KINGSTON,12401    ,550100,KINGSTON,02/28/2014,Food Service Establishment,Food Service Establishment,,TOCHNI LARNACA CORP.,SAVVA,LOUIS,316481,Inspection,,NY,41.931914,-74.000594
"33-37 JOHN STREET,  KINGSTON",RENE'S BISTRO INC./Inactive,09/19/2012,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,10,Ulster County,ULSTER,55-01058  ,33-37 JOHN STREET,KINGSTON,12401    ,550100,KINGSTON,,Food Service Establishment,Food Service Establishment,,RENE'S BISTRO INC.,CASTELLANOS,MAURICIO,815795,Inspection,,NY,41.93394,-74.018824
"3110 ROUTE 28,  SHOKAN",NEW MING MOON RESTAURANT/Inactive,03/04/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,1,Ulster County,ULSTER,55-60020  ,3110 ROUTE 28  ,SHOKAN,12481    ,556000,OLIVE,,Food Service Establishment,Food Service Establishment,,,JIANG,SAI ZHU,824000,Inspection,,NY,,
"440 BROADWAY,  KINGSTON",SAMI'S PIZZERIA/Inactive,09/11/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,8,Ulster County,ULSTER,55-01008  ,440 BROADWAY  ,KINGSTON,12401    ,550100,KINGSTON,,Food Service Establishment,Food Service Establishment,,C'S PIZZERIA CORPORATION,"SMITH, JR.",CLARENCE,316475,Inspection,,NY,41.92697,-73.997161
"110 SHOPRITE BOULEVARD,  ELLENVILLE",IL PARADISO RESTAURANT & PIZZERIA/Inactive,09/12/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,9,Ulster County,ULSTER,55-68002  ,110 SHOPRITE BOULEVARD,ELLENVILLE,12428    ,556800,WAWARSING,,Food Service Establishment,Food Service Establishment,,"IL PARADISO, INC.",SHANK,LAURA,316773,Inspection,,NY,41.731753,-74.37996
"152 WEST BRIDGE STREET,  SAUGERTIES",LUCKY STAR RESTAURANT/Inactive,03/09/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Ulster County,ULSTER,55-64069  ,152 WEST BRIDGE STREET,SAUGERTIES,12477    ,556400,SAUGERTIES,,Food Service Establishment,Food Service Establishment,,,MAN,TSE KING,316333,Inspection,,NY,42.072415,-73.951808
"751 BRIGGS  HIGHWAY,  ELLENVILLE","SAMARITAN VILLAGE, ELLENVILLE/Inactive",08/21/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,25,Ulster County,ULSTER,55-8508   ,751 BRIGGS  HIGHWAY,ELLENVILLE,12428    ,556800,WAWARSING,,Institutional Food Service,Institution Food Service,,"SAMARITAN VILLAGE, INC.",CASALASPRO,ROBERT,821246,Inspection,,NY,,
"5340 ROUTE 28,  MT. TREMPER",Phoenix Restaurant/Inactive,09/29/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,6,Ulster County,ULSTER,55-3798   ,5340 ROUTE 28  ,MT. TREMPER,12457    ,556500,SHANDAKEN,,Food Service Establishment,Food Service Establishment,,,,,562215,Inspection,,NY,42.048593,-74.287352
"71 CENTER STREET,  ELLENVILLE",MING MOON RESTAURANT/Inactive,01/15/2015,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,9,Ulster County,ULSTER,55-68071  ,71 CENTER STREET,ELLENVILLE,12428    ,556800,WAWARSING,,Food Service Establishment,Food Service Establishment,,LIN QIN MING,LIN,QIN MING,317370,Inspection,,NY,41.716662,-74.395329
"10 NEW KING STREET,  WHITE PLAINS",ANNIE'S CAFE/Inactive,11/15/2005,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,6,Westchester County,WESTCHESTER,01-F214 -B,10 NEW KING STREET,WHITE PLAINS,10604    ,595900,NO. CASTLE,02/28/2007,Food Service Establishment,Food Service Establishment,ANNIE'S CAFE,ELIZABETH ANNE FOOD SERVICE INC,MCGOVERN,ANNE MARIE,456233,Inspection,,NY,,
"520 GRAMATAN AVENUE,  MOUNT VERNON",ATHENA RESTAURANT/Inactive,04/20/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,01-5051   ,520 GRAMATAN AVENUE,MOUNT VERNON,10552    ,590301,MT. VERNON,12/31/2009,Food Service Establishment,Food Service Establishment,ATHENA RESTAURANT,ROYAL FLEETWOOD CORP.,ROYAL FLEETWOOD CORP., ,454960,Re-Inspection,,NY,,
"ROUTE 121 & ROUTE 35,  CROSS RIVER",BAGEL BOYS CAFE/Inactive,10/18/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,12,Westchester County,WESTCHESTER,01-H288-B , ROUTE 121 & ROUTE 35  ,CROSS RIVER,10518    ,595500,LEWISBORO,02/28/2010,Food Service Establishment,Food Service Establishment,BAGEL BOYS CAFE,REAL BOTA BAGELS INC, REALBUTO,FRANK,458918,Inspection,,NY,,
"100 MAIN STREET,  WHITE PLAINS",SUBWAY/Inactive,11/03/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,2,4,Westchester County,WESTCHESTER,01-H274-B ,100 MAIN STREET,WHITE PLAINS,10601    ,590203,WHITE PLAINS,03/31/2015,Food Service Establishment,Food Service Establishment,,"NNHH CONSULTING CO., INC.","NNHH CONSULTING CO., INC.", ,471651,Inspection,,NY,41.031988,-73.770363
"129 BARNARD ROAD,  NEW ROCHELLE",HENRY BARNARD SCHOOL / ARAMARK/Inactive,09/20/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,02-7769-B ,129 BARNARD ROAD,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,08/31/2009,Institutional Food Service,School K-12 Food Service,,"ARAMARK EDUCATIONAL SERVICES, LLC","ARAMARK EDUCATIONAL SERVICES, ", ,501330,Inspection,,NY,,
"297 SOUTH BROADWAY,  YONKERS",CASA SALVADORENA/Inactive,04/17/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,3,Westchester County,WESTCHESTER,01-J181-A ,297 SOUTH BROADWAY  ,YONKERS,10705    ,590707,YONKERS,03/31/2013,Food Service Establishment,Food Service Establishment,,CASA SALVADORENA CORP.,CASA SALVADORENA CORP., ,509864,Inspection,,NY,40.922363,-73.895892
"12 RUSSELL AVENUE,  NEW ROCHELLE",MODERN RESTAURANT/Inactive,06/30/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,01-9963-A ,12 RUSSELL AVENUE,NEW ROCHELLE,10805    ,590400,NEW ROCHELLE,11/30/2012,Food Service Establishment,Food Service Establishment,MODERN RESTAURANT,CSS PIZZERIA INC.,CSS PIZZERIA INC., ,455745,Re-Inspection,,NY,40.90168,-73.791035
"5 SOUTH BROADWAY,  TARRYTOWN",BELLA DONUT & COFFEE SHOP/Inactive,06/05/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-6088-A ,5 SOUTH BROADWAY  ,TARRYTOWN,10591    ,591100,GREENBURG,02/28/2013,Food Service Establishment,Food Service Establishment,BELLA DONUT & COFFEE SHOP,BELLA DONUT & COFFEE SHOP INC,BELLAS,JOHN,454651,Inspection,,NY,,
"191 NORTH HIGHLAND AVENUE,  OSSINING",RIVERVIEW DINER/Inactive,10/07/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Westchester County,WESTCHESTER,01-K558-A ,191 NORTH HIGHLAND AVENUE,OSSINING,10562    ,596100,OSSINING,06/30/2009,Food Service Establishment,Food Service Establishment,,GAM FOOD CORP,GAM FOOD CORP, ,587116,Re-Inspection,,NY,,
"519 MAIN STREET,  NEW ROCHELLE",STARLITE II/Inactive,10/15/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,5,Westchester County,WESTCHESTER,01-4563   ,519 MAIN STREET,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,02/28/2013,Food Service Establishment,Food Service Establishment,STARLITE II,THE DIETZ FAMILY RESTAURANT CORPORATION,THE DIETZ FAMILY RESTAURANT CO, ,454163,Inspection,,NY,40.90848,-73.782278
"102 UNION AVENUE,  NEW ROCHELLE",LAS MARGARITAS RESTAURANT/Inactive,10/02/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-M033-A ,102 UNION AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,09/30/2009,Food Service Establishment,Food Service Establishment,,MIGUEL MENDOZA LLC,MIGUEL MENDOZA LLC, ,683362,Inspection,,NY,,
"124 5TH AVENUE,  PELHAM",RIGATONI RESTAURANT/Inactive,11/25/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,8,Westchester County,WESTCHESTER,01-E288-A ,124 5TH AVENUE,PELHAM,10803    ,593600,PELHAM,03/31/2014,Food Service Establishment,Food Service Establishment,RIGATONI RESTAURANT,SERENITY FOOD CORP.,SERENITY FOOD CORP., ,458690,Inspection,,NY,40.912873,-73.808797
"86 NORTH STATE ROAD,  BRIARCLIFF MANOR",HUNAN GARDEN RESTAURANT/Inactive,11/26/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,5,Westchester County,WESTCHESTER,01-F531-A ,86 NORTH STATE ROAD,BRIARCLIFF MANOR,10510    ,593102,BRIARCLIFF,08/31/2010,Food Service Establishment,Food Service Establishment,,HUNAN GARDEN RESTAURANT INC,LIU,SHU YAO,443879,Inspection,,NY,,
"17 MAIN STREET,  MOUNT KISCO",PASSAGE TO INDIA/Inactive,12/09/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-J821-A ,17 MAIN STREET,MOUNT KISCO,10549    ,592000,MT. KISCO,08/31/2012,Food Service Establishment,Food Service Establishment,,PASSAGE TO INDIA RESTAURANT INC,KADAVIL,JAMES,532810,Inspection,,NY,,
"50 WELCHER  AVENUE,  PEEKSKILL",NEW YORK FIREHOUSE GRILLE/Inactive,01/13/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,6,Westchester County,WESTCHESTER,01-G480-A ,50 WELCHER  AVENUE,PEEKSKILL,10566    ,590100,PEEKSKILL,02/29/2012,Food Service Establishment,Food Service Establishment,NEW YORK FIREHOUSE GRILLE,NEW YORK FIREHOUSE GRILLE INC,NAVARRA,WILLIAM,458196,Inspection,,NY,,
"84 WEST MAIN STREET,  CAMBRIDGE",WEST VILLAGE MARKET/Inactive,01/23/2009,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,13,Glens Falls District Office,WASHINGTON,57-BC84   ,84 WEST MAIN STREET,CAMBRIDGE,12816    ,575100,CAMBRIDGE,03/31/2010,Food Service Establishment,Restaurant,,"WEST VILLAGE MARKET, INC.",SWEENEY,PAULA,335337,Inspection,,NY,,
"75 SARATOGA AVENUE,  SO GLENS FALLS",GINO'S PIZZERIA/PAT & JERRY'S ICE CREAM/Inactive,03/05/2009,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,2,0,6,Glens Falls District Office,SARATOGA,45-AB85   ,75 SARATOGA AVENUE,SO GLENS FALLS,12803    ,452400,MOREAU,,Food Service Establishment,Food Service Establishment,,,EICHHORN,ERIK,591650,Inspection,,NY,43.293281,-73.636521
"324  QUAKER ROAD,  QUEENSBURY",QUIZNOS SUB/Inactive,03/10/2009,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,3,Glens Falls District Office,WARREN,56-BD71   ,324  QUAKER ROAD,QUEENSBURY,12804    ,565700,QUEENSBURY,,Food Service Establishment,Food Service Establishment,,"21st CENTURY TOASTED SUBS, LLC.",MUSET,ROBERT/JIMMY,532995,Inspection,,NY,43.331617,-73.643963
"327 MILTON AVENUE,  BALLSTON SPA",I LOVE NEW YORK TAKE N BAKE PIZZA/Inactive,05/15/2009,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,5,Glens Falls District Office,SARATOGA,45-AS43   ,327 MILTON AVENUE,BALLSTON SPA,12020    ,452000,BALLSTON,,Food Service Establishment,Food Service Establishment,,,CAMAJ,VASELJ,694992,Inspection,,NY,43.009965,-73.849785
"220 BROADWAY,  FORT EDWARD",FORT EDWARD UNION FREE SCHOOL/Inactive,11/17/2009,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,6,Glens Falls District Office,WASHINGTON,57-AM57   ,220 BROADWAY  ,FORT EDWARD,12828    ,572400,FT. EDWARD,,Institutional Food Service,School K-12 Food Service,,FT. EDWARD UNION FREE SCHOOL,ZIEGLER,JEFFERY,333664,Inspection,,NY,43.273639,-73.58643
"209 BROADWAY,  WHITEHALL",ROMA RESTAURANT OF WHITEHALL/Inactive,12/23/2009,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,4,Glens Falls District Office,WASHINGTON,57-AB91   ,209 BROADWAY  ,WHITEHALL,12887    ,572800,WHITEHALL,,Food Service Establishment,Restaurant,,"ROMA RESTAURANT OF WHITEHALL, LLC.",ROCHE,PATRICK,333124,Inspection,,NY,43.545553,-73.406631
"682 UPPER GLEN STREET,  GLENS FALLS",FRIENDLY ICE CREAM-UPPER GLEN/FRIENDLYS #/Inactive,01/08/2010,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,7,Glens Falls District Office,WARREN,56-AC55   ,682 UPPER GLEN STREET,GLENS FALLS,12801    ,565700,QUEENSBURY,,Food Service Establishment,Restaurant,Friendlys #183,"FRIENDLY' S RESTAURANTS, LLC.",SMITH,CATHERINE ,332371,Inspection,,NY,,
"324  QUAKER ROAD,  QUEENSBURY",QUIZNOS SUB/Inactive,01/29/2010,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,1,Glens Falls District Office,WARREN,56-BD71   ,324  QUAKER ROAD,QUEENSBURY,12804    ,565700,QUEENSBURY,,Food Service Establishment,Food Service Establishment,,"21st CENTURY TOASTED SUBS, LLC.",MUSET,ROBERT/JIMMY,532995,Inspection,,NY,43.331617,-73.643963
"31 MAIN STREET,  SOUTH GLENS FALLS",MAUDE'S KITCHEN/Inactive,02/09/2010,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,4,0,12,Glens Falls District Office,SARATOGA,45-AN83   ,31 MAIN STREET,SOUTH GLENS FALLS,12803    ,452400,MOREAU,,Food Service Establishment,Restaurant/Catering Operation,,"MAUDE'S KITCHEN, INC.",SHERRY GRANGER,CHARLES ,521994,Inspection,,NY,43.303628,-73.639243
"2839 ROUTE 9,  BALLSTON SPA",ALMOST SARATOGA/Inactive,02/12/2010,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,13,Glens Falls District Office,SARATOGA,45-AB55   ,2839 ROUTE 9  ,BALLSTON SPA,12020    ,456000,MALTA,,Food Service Establishment,Food Service Establishment,,"ALMOST SARATOGA, LLC.",GRAYSON,LARRY,542438,Inspection,,NY,43.012214,-73.789782
