FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
Joe's Deli @ 250 Clinton Street     ,"250 Clinton STREET,  Syracuse",12/10/2015,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,5,Onondaga County,ONONDAGA,2413      ,250 Clinton STREET,Syracuse,13202    ,330100,SYRACUSE,Joe's Deli @ 250 Clinton Street,01/31/2017,Food Service Establishment,Restaurant,,"Joe's Deli Syracuse, LLC",Barbaro,Joseph ,294591,Inspection,"Various foods noted reheating in the hot holding unit, reheat to 165 degrees F before serving.",NY,,
Dwyer Stadium Concession Stand      ,"299 BANK STREET,  BATAVIA",06/16/2009,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,1,Genesee County,GENESEE,18FSE00097,299 BANK STREET,BATAVIA,14020    ,180100,BATAVIA,Dwyer Stadium Concession Stand ,05/31/2016,Food Service Establishment,Food Service Establishment,,"Red Wings Management, LLC",Silver,Naomi,278970,Inspection,,NY,43.008787,-78.176913
JADE PALACE                         ,"1659 ROUTE 9,  WAPPINGERS FALLS",11/05/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Dutchess County,DUTCHESS,4015432   ,1659 ROUTE 9  ,WAPPINGERS FALLS,12590    ,136800,WAPPINGER,JADE PALACE,06/30/2016,Food Service Establishment,Restaurant,,JADE PALACE CHINESE RESTAURANT USA INC.,ZHENG,XUE QIAO,899848,Inspection,,NY,,
Original Italian Pizza              ,"489 James STREET,  Syracuse",08/25/2011,13B,"Garbage storage areas not properly constructed or maintained, creating a nuisance",Not Critical Violation,2,0,11,Onondaga County,ONONDAGA,3482      ,489 James STREET,Syracuse,13203    ,330100,SYRACUSE,Original Italian Pizza,01/31/2017,Food Service Establishment,Restaurant,,"Original Italian Pizza, LLC",Crabbe,Joe,547570,Inspection,,NY,43.053479,-76.146309
Settler's Family Restaurant         ,"353 WEST Main STREET,  Batavia",10/16/2008,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,1,0,10,Genesee County,GENESEE,18FSE00080,353 WEST Main STREET,Batavia,14020    ,180100,BATAVIA,Settler's Family Restaurant ,04/30/2017,Food Service Establishment,Food Service Establishment,,Yannis Enterprises DBA Settler's Family Restaurant,Spyropoulos,Stylianos,278950,Inspection,,NY,43.003457,-78.199741
LOLA'S                              ,"180 W PARK  AVENUE,  LONG BEACH",01/14/2016,8E,Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures,Not Critical Violation,0,0,5,Nassau  County,NASSAU,04945-10  ,180 W PARK  AVENUE,LONG BEACH,11561    ,290200,LONG BEACH,LOLA'S,12/31/2016,Food Service Establishment,Restaurant,,BY THE SEA RESTAURANT CORP.,,,683553,Inspection,"FMTC David Livingston, expires 12/2016, no: 47182

Seats 60

Grade A",NY,40.588275,-73.669625
"COMO RESTAURANT, INC.               ","2220 PINE AVENUE,  NIAGARA FALLS",07/31/2008,11A,"Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions",Not Critical Violation,3,1,7,Niagara County,NIAGARA,F243      ,2220 PINE AVENUE,NIAGARA FALLS,14301    ,310200,NIAGARA FALLS,"COMO RESTAURANT, INC.",07/31/2016,Food Service Establishment,Restaurant/Catering Operation,,,COLUCCI,DOMINIC,285874,Inspection,"1C - In-house canned Italian vegetable mix(with eggplant) foundon premisis. No Process on record. Not to be used until process has been OK'd by Cornell Coop.
5A&E Snapple desert cooler found at 60 degrees,whipped cream (cans and bag) and 2 small containers of sour cream at 60 degrees- voluntarily discarded. Other products removed to double glass door cooler. Repair man called.
8A - food stored on floor in Walkin freezer.
8A - Paperproducts stored on floor in basement dry storage area.
8A - Main grill grill area cooler had food uncovered and double stacked - food in contact with bottom of top container. Corrected
10A - shelving throuout the kitchen area has grime accumulation.
10B - cooler gaskets on fish freezer ( Hussman) are in disrepair.
11A - Dishwasher final rinsenot up to proper temp.-as per test strip. 
15B - Various lights are unshielded in basement by mop sink,dry storage(china) and by dishwasher.",NY,43.095159,-79.035149
NIAGARA UNIVERSITY-MAIN CAFETERIA   ,"P O BOX 43,  NIAGARA UNIVERSITY",09/27/2011,14A,"Insects, rodents present",Not Critical Violation,1,0,4,Niagara County,NIAGARA,F353      , P O BOX 43  ,NIAGARA UNIVERSITY,14109    ,315200,LEWISTON,NIAGARA UNIVERSITY-MAIN CAFETERIA,07/31/2016,Institutional Food Service,School K-12 Food Service,,METZ CULINARY MANAGEMENT,FERGUSON,CHRISTY,286657,Inspection,"6A--Spinach & bacon pizza temped at 130 degrees on the line and tomato & cheese pizza temped at 118 degrees.  Cooked 15 minutes prior as per cook.  Reheat to 165 degrees allowed. Corrected.
8A--Squeeze bottles found not labeled for content. 
11A--High temp dish machine is not reaching a temperature that turns the measuring tape to black. Not reaching >170 degrees.
14A--Fruit flies present at salad bar. 
15B--Lights in True Cooler at ""Healthy Station"" and in the 2 door Randall Cooler in the Kitchen are out. ",NY,43.137191,-79.040777
LOWER NIAGARA LODGE # 584           ,"112 SOUTH WATER STREET,  LEWISTON",03/12/2010,8C,"Improper use and storage of clean, sanitized equipment and utensils",Not Critical Violation,0,0,1,Niagara County,NIAGARA,F71       ,112 SOUTH WATER STREET,LEWISTON,14092    ,312100,LEWISTON,LOWER NIAGARA LODGE # 584,03/31/2017,Food Service Establishment,Food Service Establishment,,LOWER NIAGARA LODGE #584,KILMER,WILLIAM,285698,Inspection,8C--Cloth towels found lining shelves behind bar with glassware stored directly on the towels. ,NY,43.172634,-79.048839
WINDHAM-ASHLAND-JEWETT SCHOOL       ,"5411 STATE ROUTE 23,  WINDHAM",01/29/2016,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,1,Oneonta District Office,GREENE,19-AH89   ,5411 STATE ROUTE 23  ,WINDHAM,12496    ,196300,WINDHAM,WINDHAM-ASHLAND-JEWETT SCHOOL CAFETERIA,09/30/2016,Institutional Food Service,School K-12 Food Service,WINDHAM-ASHLAND-JEWELL SCHOOL CAFETERIA,CHARTWELLS DINING SERVICES,Potter,Diana,354927,Inspection,All temperatures in required range.,NY,42.30414,-74.335475
INN BETWEEN                         ,"42377 ROUTE 28,  MARGARETVILLE",03/03/2016,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,13,Oneonta District Office,DELAWARE,12-AC94   ,42377 ROUTE 28  ,MARGARETVILLE,12455    ,126300,MIDDLETOWN,THE INN BETWEEN RESTAURANT,12/31/2016,Food Service Establishment,Restaurant,,"D AND C INN, INC.",Brady,Douglas ,354367,Inspection,Discussed deficiencies with the owner.  All cold holding temperatures of potentially hazardous food items were measured to be less than 45 degrees F.  All hot holding temperatures were measured to be above 150 degrees F.  The final rinse on the mechanical dish washer had a chlorine residual of 50 ppm.  Report e-mailed.,NY,42.147779,-74.643515
UNCOMMON GROUNDS                    ,"1225 WESTERN AVENUE,  ALBANY",01/31/2006,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,3,Albany County,ALBANY,01-1474   ,1225 WESTERN AVENUE,ALBANY,12206    ,010100,ALBANY,UNCOMMON GROUNDS,06/30/2016,Food Service Establishment,Restaurant,,"UNCOMMON GROUNDS COFFEE & TEA, INC.",MURPHY,DAN,251517,Inspection,,NY,42.676926,-73.824451
OPA GRILLE                          ,"432 HILLSIDE AVENUE,  WILLISTON PARK",12/14/2015,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,13,Nassau  County,NASSAU,05477-07  ,432 HILLSIDE AVENUE,WILLISTON PARK,11596    ,296000,N. HEMPSTEAD,OPA GRILLE,10/31/2016,Food Service Establishment,Restaurant,,GCN RESTAURANT LLC,,,821650,Inspection,Rating D   78 seats,NY,,
HALFWAY HOUSE TAVERN                ,"26 MAIN STREET,  RAVENA",02/05/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,2,Albany County,ALBANY,01-6009   ,26 MAIN STREET,RAVENA,12143    ,015200,COEYMANS,HALFWAY HOUSE TAVERN,09/30/2016,Food Service Establishment,Restaurant,,,MISURACA,TERESA,252392,Inspection,excellent,NY,42.472922,-73.802501
Settler's Family Restaurant         ,"353 WEST Main STREET,  Batavia",10/27/2014,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,6,Genesee County,GENESEE,18FSE00080,353 WEST Main STREET,Batavia,14020    ,180100,BATAVIA,Settler's Family Restaurant ,04/30/2017,Food Service Establishment,Food Service Establishment,,Yannis Enterprises DBA Settler's Family Restaurant,Spyropoulos,Stylianos,278950,Inspection,,NY,43.003457,-78.199741
LA FAMILIA A+ BUFFET                ,"310 NORTH MAIN STREET,  SPRING VALLEY",01/21/2016,8E,Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures,Not Critical Violation,0,0,7,Rockland County,ROCKLAND,43-5809   ,310 NORTH MAIN STREET,SPRING VALLEY,10977    ,435300,RAMAPO,LA FAMILIA A+ BUFFET,01/31/2017,Food Service Establishment,Food Service Establishment,,,PIERRE,YASMINE,898335,Inspection,,NY,41.129884,-74.040552
"ITALIAN CHEF OF NEW HARTFORD INC, THE","39 GENESEE STREET,  NEW HARTFORD",11/20/2012,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,3,Oneida County,ONEIDA,32-4836  H,39 GENESEE STREET,NEW HARTFORD,13413    ,326400,NEW HARTFORD,THE ITALIAN CHEF,12/31/2016,Food Service Establishment,Food Service Establishment,,,HUBBS,MATTHEW,290812,Inspection,,NY,43.073129,-75.288148
"LOTUS GARDEN, THE","1011 KING STREET,  UTICA",06/04/2014,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,1,Oneida County,ONEIDA,32-4352  H,1011 KING STREET,UTICA,13501    ,320203,UTICA,THE LOTUS GARDEN,12/31/2016,Food Service Establishment,Food Service Establishment,,,PHOU,CHENDA,290082,Inspection,"Satisfactory

Violations are specifically listed above and violations not listed, but which are contained in the same category of the indicated violation, are not present.",NY,43.098831,-75.234457
HOTEL WILLOWVALE                    ,"3397 ONEIDA STREET,  CHADWICKS",10/22/2014,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,4,Oneida County,ONEIDA,32-3433  M,3397 ONEIDA STREET,CHADWICKS,13319    ,326400,NEW HARTFORD,HOTEL WILLOWVALE,12/31/2016,Food Service Establishment,Food Service Establishment,,,LENARD,STEPHEN,288868,Inspection,"Satisfactory.  Violations are specifically listed within each inspection and violations not listed, but which are contained in the same category of the indicated violation, are not present.",NY,43.027402,-75.271239
Latitude 44 Bistro                  ,"5131 U.S. AVENUE,  Plattsburgh",12/22/2015,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,3,0,23,Clinton County,CLINTON,09-2115   ,5131 U.S. AVENUE,Plattsburgh,12901    ,090101,PLATTSBURGH,Latitude 44 Bistro,12/31/2016,Food Service Establishment,Restaurant/Catering Operation,,,Allen,David,797677,Re-Inspection,inspector recommends a time table for compliance. Operator has planned to address many issues.,NY,44.684259,-73.449687
CHINA GOURMET INC.                  ,"261 UTICA  BOULEVARD,  BOONVILLE",02/05/2010,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,2,Oneida County,ONEIDA,32-3204  H,261 UTICA  BOULEVARD,BOONVILLE,13309    ,325300,BOONVILLE,"CHINA GOURMET, INC.",12/31/2016,Food Service Establishment,Food Service Establishment,,,CHEN,SHUWEN,288668,Inspection,"Hand wash signs missing in bathrooms.
Food stored on floor of walkin cooler. Corrected.",NY,,
NESSA                               ,"325 NORTH MAIN STREET,  PORT CHESTER",02/18/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,2,0,27,Westchester County,WESTCHESTER,01-K268-A ,325 NORTH MAIN STREET,PORT CHESTER,10573    ,590600,RYE,NESSA,08/31/2016,Food Service Establishment,Food Service Establishment,,TESSITORE MANAGEMENT LLC,TESSITORE MANAGEMENT LLC, ,556307,Inspection,**re-inspection to occurin or about 4 weeks. Summons to be issued to shellfish tags and rodents upon re-inspection,NY,41.005808,-73.659003
SAMMY'S NY BAGELS                   ,"110 CENTRE AVENUE,  NEW ROCHELLE",02/23/2016,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,9,Westchester County,WESTCHESTER,06-0538   ,110 CENTRE AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,SAMMY'S NY BAGELS,05/31/2016,Food Service Establishment,Bakery,SAMMYS NY BAGELS,"ROCHELLE DISTRIBUTORS, INC.","ROCHELLE DISTRIBUTORS, INC.", ,481461,Re-Inspection,"REINSPECTION ON OR ABOUT 1 WEEK

THIS INSPECTOR SPOKE TO THE OWNERS SON DAVID SANCHEZ 914-462-0365 AT THE TIME OF THIS INSPECTION

****BASEMENT MUST BE FREE OF ALL FOOD ITEMS IMMEDATLEY DUE TO THE LEAKING DRAIN LINE FROM THE MOP SINK.  IT APPEARS THAT THE DRAIN HAS ROTTED THROUGH THE FLOOR BOARDS AND IS LEAKING INTO THE BASEMENT.
**** LIVE AND DEAD RODENTS OBSERVED AT THIS TIME.  FACILITY HAS EXTERMINATION RECORDS ON SITE.  FACILITY MUST HAVE A DEEP CLEANING PERFORMED WITH ALL SURFACES WASHED, RINSED AND SANITIZED AND BE FREE OF VERMIN.
THIS MATTER HAS BEEN REFERRED FOR ADMINISTRATIVE ACTION UNDER CASE NUMBER: PHP-6282-16-MK-VAST-FSE WITH A HEARING TO BE HELD ON APRIL 14, 2016 @ 930AM TO BE HELD AT 25 MOORE AVENUE, MT. KISCO, NY 10549.  SOMEONE WILL BE REQUIRED TO ATTEND THE HEARING",NY,40.90732,-73.78391
SALSA & SOUL                        ,"23 MOUNT VERNON AVENUE,  MOUNT VERNON",03/07/2016,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,15,Westchester County,WESTCHESTER,01-M398-A ,23 MOUNT VERNON AVENUE,MOUNT VERNON,10550    ,590301,MT. VERNON,SALSA & SOUL,07/31/2016,Food Service Establishment,Catering Operation,,"SALSA & SOUL, LTD.","SALSA & SOUL, LTD.", ,714933,Inspection,"NEW WALK-IN REFRIGERATOR HAS BEEN INSTALLED., NOT YET OPERATIONAL.FLOOR PAINTED CONCRETE. FLOOR TO BE PROPERLY SEALED WITH COMMERCIAL GRADE VINYL TILE,CERAMIC TILE,DIAMOND PLATE ETC.
REINSPECT ON OR ABOUT APRIL 1ST,2016
WARNING  ISSIED FOR WIPING CLOTHS AT THIS TIME.",NY,40.911034,-73.844972
SINAPI'S PIZZA RUSTICA              ,"5 NORM AVENUE,  BEDFORD HILLS",03/10/2016,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,3,0,15,Westchester County,WESTCHESTER,01-N088-B ,5 NORM AVENUE,BEDFORD HILLS,10507    ,595000,BEDFORD,SINAPI'S PIZZA RUSTICA,05/31/2016,Food Service Establishment,Food Service Establishment,,"NORM AVENUE PIZZA, INC.","NORM AVENUE PIZZA, INC.", ,770770,Inspection,Reinspection for compliance on 3/15/2016.,NY,41.223388,-73.715244
MC DONALDS #4265 (HP)               ,"4258 ALBANY POST ROAD,  HYDE PARK",05/01/2015,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Dutchess County,DUTCHESS,0000384   ,4258 ALBANY POST ROAD,HYDE PARK,12538    ,135600,HYDE PARK,MC DONALDS #4265 (HP),10/31/2016,Food Service Establishment,Restaurant,,LEE DEE RESTAURANT CORP, OPSTAD,DAVID,273868,Inspection,,NY,41.782105,-73.932306
LOWER NIAGARA LODGE # 584           ,"112 SOUTH WATER STREET,  LEWISTON",03/21/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,2,Niagara County,NIAGARA,F71       ,112 SOUTH WATER STREET,LEWISTON,14092    ,312100,LEWISTON,LOWER NIAGARA LODGE # 584,03/31/2017,Food Service Establishment,Food Service Establishment,,LOWER NIAGARA LODGE #584,KILMER,WILLIAM,285698,Inspection,"Notes:  Food events for memers only.  Public events held on property few times yearly (Smelt Fest) discussed using commercially pre-cooked products only for a low risk establishment.  Discussed temporary food event setup requirements: tent, sanitizer, thermometer, handwash station, gloves, hair restraints, etc.  All coolers <45F-ok, Food testing thermometer available, gloves available, discussed cooking temps gave green pamphlet, gave and discussed food workers sick policy, gave basic food safety course info.  Santimine tabs available for sanitizing-ok, restrooms ok.",NY,43.172634,-79.048839
KRISTEN'S KOUNTRY KAFE              ,"2684  STATE ROUTE 12B,  DEANSBORO",03/16/2006,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,1,Oneida County,ONEIDA,32-3059  M,2684  STATE ROUTE 12B  ,DEANSBORO,13328    ,326300,MARSHALL,KRISTEN'S KOUNTRY KAFE,12/31/2016,Food Service Establishment,Food Service Establishment,,,JONES,KRISTEN,288530,Inspection,4 eggs out at room temp for 2 hours. Discarded.,NY,42.993376,-75.428868
Pavone's Pizza                      ,"500 Butternut STREET,  Syracuse",01/11/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,4,Onondaga County,ONONDAGA,1614      ,500 Butternut STREET,Syracuse,13208    ,330100,SYRACUSE,Pavone's Pizza,01/31/2017,Food Service Establishment,Restaurant,,Jordancha Incorporated,Felton,Julie,293881,Inspection,,NY,43.059085,-76.148639
PIZZA HUT - OSWEGO                  ,"303 WEST SENECA STREET,  OSWEGO",02/21/2007,10A,"Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces)",Not Critical Violation,0,0,5,Oswego County,OSWEGO,37-F154   , 303 WEST SENECA STREET  ,OSWEGO,13126    ,370200,OSWEGO,PIZZA HUT  - OSWEGO,03/31/2017,Food Service Establishment,Restaurant,PIZZA HUT - OSWEGO,DALAND CORPORATION,CORPORATION,DALAND,296272,Inspection,"2/21/07 

8A  UNLABELED OIL IN PUMP-TYPE GALLON JUGS STORED IN CLOSE PROXIMITY TO 3 BAY SINK

11C  VEGETABLE CHOPPER HAS REMNANTS OF DRIED VEGETABLES CAKED ON IT

8A  SODA, BEER, AND WINE STORED ON FLOOR OF WALKIN COOLER

10A  CORROSION EXISTS ON BOTTOM SHELF OF TWO UTILITY CARTS WHERE ITEMS ARE STORED

14B  BACK DOOR HAS GAPS ON TOP AND BOTTOM WHEN CLOSED",NY,43.451825,-76.532056
NIAGARA UNIVERSITY-MAIN CAFETERIA   ,"P O BOX 43,  NIAGARA UNIVERSITY",01/14/2016,11A,"Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions",Not Critical Violation,0,0,6,Niagara County,NIAGARA,F353      , P O BOX 43  ,NIAGARA UNIVERSITY,14109    ,315200,LEWISTON,NIAGARA UNIVERSITY-MAIN CAFETERIA,07/31/2016,Institutional Food Service,School K-12 Food Service,,METZ CULINARY MANAGEMENT,FERGUSON,CHRISTY,286657,Inspection,Coolers and cold holds are all < 45 degrees F.   Thermometers ok.  Food handling ok.  Hand barriers used properly. Hair is properly restrained.  Hand wash stations ok.  Mop sink ok. Dry storage ok.  Food rinse sinks ok. Quat sanitizer is at ~ 200ppm.,NY,43.137191,-79.040777
OCM BOCES Career Training Center    ,"4500 CROWN ROAD,  LIVERPOOL",03/08/2007,11A,"Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions",Not Critical Violation,0,0,5,Onondaga County,ONONDAGA,207CSF    ,4500 CROWN ROAD,LIVERPOOL,13090    ,336400,SALINA,OCM-BOCES Career Training Center,12/31/2016,Institutional Food Service,School K-12 Food Service,,OCM-BOCES, ,,466829,Inspection,,NY,43.117217,-76.204903
SUBWAY                              ,"600 COLUMBIA TURNPIKE,  EAST GREENBUSH",02/05/2015,11A,"Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions",Not Critical Violation,0,0,2,Rensselaer County,RENSSELAER,41-EG113  ,600 COLUMBIA TURNPIKE,EAST GREENBUSH,12061    ,415200,E. GREENBUSH,SUBWAY #31544,02/28/2017,Food Service Establishment,Restaurant,,DRAPER DEVELOPMENT LLC,"JASENSKI, JR.",LAWRENCE,798302,Inspection,,NY,42.598426,-73.709672
"COMO RESTAURANT, INC.               ","2220 PINE AVENUE,  NIAGARA FALLS",01/21/2016,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,5,Niagara County,NIAGARA,F243      ,2220 PINE AVENUE,NIAGARA FALLS,14301    ,310200,NIAGARA FALLS,"COMO RESTAURANT, INC.",07/31/2016,Food Service Establishment,Restaurant/Catering Operation,,,COLUCCI,DOMINIC,285874,Inspection,"Coolers/Cold Holds: <45o f
Hot Holds: >140o f
Restrooms: OK
Food Testing Thermometers: OK
Choke Poster/CPR Kit/Permit: Posted
3-Bay Sink: wash->rinse->sanitize->air dry: OK
Wipe Cloths/3-Bay: 200 ppm Quat",NY,43.095159,-79.035149
NESSA                               ,"325 NORTH MAIN STREET,  PORT CHESTER",02/18/2016,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,2,0,27,Westchester County,WESTCHESTER,01-K268-A ,325 NORTH MAIN STREET,PORT CHESTER,10573    ,590600,RYE,NESSA,08/31/2016,Food Service Establishment,Food Service Establishment,,TESSITORE MANAGEMENT LLC,TESSITORE MANAGEMENT LLC, ,556307,Inspection,**re-inspection to occurin or about 4 weeks. Summons to be issued to shellfish tags and rodents upon re-inspection,NY,41.005808,-73.659003
MING MOON KITCHEN INC - Stamford    ,"128 WEST MAIN STREET,  STAMFORD",01/13/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,13,Oneonta District Office,DELAWARE,12-AD67   ,128 WEST MAIN STREET,STAMFORD,12167    ,126600,STAMFORD,MING MOON KITCHEN INC.,10/31/2017,Food Service Establishment,Restaurant,,MING MOON KITCHEN INC.,Zheng,Jian,911123,Inspection,"Discussed deficiencies with the operator.  The following temperatures were measured (degrees F.):  Walk-In cooler - Cooked Pork - 36.7, Egg Rolls - 39.3;  Upper Compartment Bain Marie - Sliced Cooked Chicken, Diced Pork - 43.9;  Snapple Display Cooler - Pork Ribs - 39.4;  Pepsi Display Cooler - Egg Rolls -39.7;  Sweet and Sour Soup - 170, Won Ton Soup - 194.4, White Rice - 161.7.  Stressed the importance of properly cooling Potentially Hazardous food items.  Report e-mailed.",NY,42.410784,-74.620661
Solvay Recreation Alleys            ,"1737 Milton AVENUE,  Solvay",09/09/2015,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,3,Onondaga County,ONONDAGA,464       ,1737 Milton AVENUE,Solvay,13209    ,335600,GEDDES,Solvay Recreation Alleys,01/31/2017,Food Service Establishment,Food Service Establishment,,"Solvay Recreation Alleys, Inc.",Zollo,John,292947,Inspection,"**Note:  Leaking faucet must be repaired as soon as possible; if noted in poor repair at next routine inspection a maintnance schedule will be directed.

Establishment has probe/metal-stem type thermometer.",NY,43.060904,-76.20469
BONEFISH GRILL 9353                 ,"1002 EASTVIEW MALL,  VICTOR",11/28/2006,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,2,Geneva District Office,ONTARIO,34-A129   ,1002 EASTVIEW MALL  ,VICTOR,14564    ,346400,VICTOR,BONEFISH GRILL 9353,08/31/2016,Food Service Establishment,Restaurant,,BONEFISH GRILL LLC ,KADOW ,JOSEPH ,537160,Inspection,,NY,,
YUMMY CHINA BUFFET                  ,"398 MERRICK  AVENUE,  EAST MEADOW",02/10/2016,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,3,0,8,Nassau  County,NASSAU,02783-09  ,398 MERRICK  AVENUE,EAST MEADOW,11554    ,295012,HEMPSTEAD,YUMMY CHINA BUFFET,04/30/2017,Food Service Establishment,Restaurant,,398 YUMMY INC.,,,838564,Inspection,,NY,,
Harrison Bakery                     ,"1306 WEST Genesee STREET,  Syracuse",01/21/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,3,Onondaga County,ONONDAGA,641       ,1306 WEST Genesee STREET,Syracuse,13204    ,330100,SYRACUSE,Harrison Bakery,01/31/2017,Food Service Establishment,Bakery,,"Harrison Bakery, Inc.",Rothfeld,Michael,293108,Inspection,,NY,43.052748,-76.179207
Barley's                            ,"2710 James STREET,  Syracuse",03/11/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,2,Onondaga County,ONONDAGA,5026      ,2710 James STREET,Syracuse,13206    ,330100,SYRACUSE,Barley's,01/31/2016,Food Service Establishment,Restaurant,,"T.L. Tavern, Inc.",Michel,Tracy,792105,Re-Inspection,Reinspection this date for violations cited during the inspection on 02/24/16. The majority of violations have been corrected and there is a $60.00 late fee owed on the 2016 food permit which is collected today. A  cash receipt # 452614 was given to Donna. Recommend abatement.,NY,43.068678,-76.108574
Mr. Stirfry                         ,"214 Tecumseh ROAD,  Syracuse",03/30/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,8,Onondaga County,ONONDAGA,5529      ,214 Tecumseh ROAD,Syracuse,13224    ,335300,DEWITT,Mr. Stirfry,01/31/2017,Food Service Establishment,Restaurant,,Mr. Stirfry Inc.,Huang,Xin Rui,859597,Inspection,,NY,,
