FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
MARIO'S PIZZERIA                    ,"596 OLD COUNTRY  ROAD,  WESTBURY",09/21/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; ",0,0,3,Food Service Establishment - Restaurant,Nassau  County,NASSAU,596 OLD COUNTRY  ROAD,WESTBURY,11590    ,291400,N. HEMPSTEAD,MARIO'S PIZZERIA,05/31/2017,MARIO'S PIZZERIA,MARIO'S PIZZERIA OF WESTBURY INC,,,576779,Re-Inspection,,NY,"(40.750442, -73.574299)"
KENTUCKY FRIED CHICKEN              ,"2851 W. HENRIETTA ROAD,  ROCHESTER",09/23/2015,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,1,Food Service Establishment - Restaurant,Monroe County,MONROE,2851 W. HENRIETTA ROAD,ROCHESTER,14623    ,270104,ROCHESTER,KFC,12/31/2016,,,,,703891,Re-Inspection,,NY,"(43.094371, -77.63297)"
CRACKER BARREL #387                 ,"2075 HYLAN DRIVE,  ROCHESTER",09/23/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Restaurant,Monroe County,MONROE,2075 HYLAN DRIVE,ROCHESTER,14623    ,270104,ROCHESTER,CRACKER BARREL #387,12/31/2016,,,,,667176,Inspection,,NY,"(43.072927, -77.625369)"
JARVIS MIDDLE SCHOOL                ,"28 GROVE STREET,  MOHAWK",09/29/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Herkimer District Office,HERKIMER,28 GROVE STREET,MOHAWK,13407    ,212300,GER. FLATS,JARVIS MIDDLE SCHOOL,06/30/2017,JARVIS JR.-SR. HIGH SCHOOL,CENTRAL VALLEY CENTRAL SCHOOL DISTRICT,CRISTMAN,BARBARA,338996,Inspection,"gloves, hair restraint ok, all refrigeration less than 38 degrees",NY,"(43.008195, -75.007498)"
GEORGE T.  HILTEBRANT REC. CENTER   ,"201 NORTH STREET,  OLD FORGE",09/28/2015,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,3,Food Service Establishment - Food Service Establishment,Herkimer District Office,HERKIMER,201 NORTH STREET,OLD FORGE,13420    ,216700,WEBB,GEORGE T.  HILTEBRANT REC. CENTER,11/30/2017,,TOWN OF WEBB,RIEHLE,THEODORE,529568,Inspection,No food preparation or food storage at time of inspection. Facility used for pre planned specific events. Refrigeration storage temps- OK. Probe therm. available. Sanitizer and Disposable gloves available.,NY,"(43.716722, -74.970739)"
AIKO                                ,"88-90 MAIN  STREET,  PORT WASHINGTON",09/28/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present; ",0,0,5,Food Service Establishment - Restaurant,Nassau  County,NASSAU,88-90 MAIN  STREET,PORT WASHINGTON,11050    ,295111,N. HEMPSTEAD,AIKO,10/31/2016,,AIKO SUSHI INC,,,789226,Inspection,"FMTC - 1) Wen Lin Exp Dec 2017 2) Xue Cheng Han Exp Dec 2017, Exterminator 2xmonth, A - Rating
Facility email address included",NY,"(40.830509, -73.688233)"
"BURGER BARN, THE","289 ROUTE 100,  SOMERS",09/14/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,289 ROUTE 100  ,SOMERS,10589    ,596600,SOMERS,THE BURGER BARN,03/31/2017,,THE 6TH UNIT & ASSOCIATES LLC,THE 6TH UNIT & ASSOCIATES LLC, ,517888,Inspection,,NY,"(41.3309, -73.68139)"
NEW SCOTLAND ELEMENTARY             ,"369 NEW SCOTLAND AVENUE,  ALBANY",09/29/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Albany County,ALBANY,369 NEW SCOTLAND AVENUE,ALBANY,12208    ,010100,ALBANY,NEW SCOTLAND ELEMENTARY,08/31/2016,,WHITSON'S SCHOOL NUTRITION CORP.,FRIEND,KELLY,739254,Inspection,,NY,"(42.6537, -73.792333)"
RALPH'S TAVERN                      ,"1328 CENTRAL AVENUE,  ALBANY",09/25/2015,"Item  7G-  Critical Violation [RED] Commercially processed precooked potentially hazardous foods are not heated to 140oF or above within two hours.; Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,4,Food Service Establishment - Restaurant,Albany County,ALBANY,1328 CENTRAL AVENUE,ALBANY,12205    ,015300,COLONIE,RALPH'S TAVERN,03/31/2017,,"RALPH'S TAVERN, INC.","FAGAN, JR.",JOSEPH,469306,Inspection,,NY,"(42.701729, -73.814816)"
DB'S DRIVE IN                       ,"8951 NORTH SENECA STREET,  WEEDSPORT",10/02/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Cayuga County,CAYUGA,8951 NORTH SENECA STREET,WEEDSPORT,13166    ,052100,BRUTUS,DB'S DRIVE IN,11/01/2016,,,Roberts,3158346651,260675,Inspection,,NY,"(43.050626, -76.561886)"
LISHAKILL MIDDLE SCHOOL             ,"100 WATERMAN AVENUE,  ALBANY",09/30/2015,"Item  5E-  Critical Violation [RED] Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45oF as required.; ",1,0,0,Food Service Establishment - Food Service Establishment,Albany County,ALBANY,100 WATERMAN AVENUE,ALBANY,12205    ,015300,COLONIE,LISHAKILL MIDDLE SCHOOL CAFETERIA,08/31/2016,,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,HANKS,RENEE,252270,Inspection,,NY,"(42.751152, -73.85642)"
Pizza Man                           ,"50 Oswego STREET,  Baldwinsville",10/02/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; ",0,0,8,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,50 Oswego STREET,Baldwinsville,13027    ,335800,LYSANDER,Pizza Man,01/31/2017,,"James N. Delia, Inc.",Delia,James,292905,Inspection,,NY,"(43.159243, -76.332729)"
MEALS ON WHEELS - CORNING           ,"144 CEDAR STREET,  CORNING",10/02/2015,No violations found.,0,0,0,SOFA Food Service - SOFA Prep Site-State Office for the Aging,Hornell District Office,STEUBEN,144 CEDAR STREET,CORNING,14830    ,500100,CORNING,MEALS ON WHEELS - CORNING,01/15/2017,,CORNING MEALS ON WHEELS,SMITH,DAVID,342585,Inspection,cold food 45 or below. no hot holding,NY,"(42.141366, -77.052922)"
Clay Panthers Football League       ,"Clay Central Park Liverpool,  Liverpool",10/03/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA, Clay Central Park Liverpool  ,Liverpool,13090    ,335200,CLAY,Clay Panthers Football League,01/31/2017,,Clay Panthers Football League,Jerman,Michael,293268,Inspection,,NY,"(43.150543, -76.181635)"
CAFE BACI                           ,"1636 OLD COUNTRY ROAD,  WESTBURY",10/05/2015,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; ",0,0,6,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1636 OLD COUNTRY ROAD,WESTBURY,11590    ,291400,N. HEMPSTEAD,CAFE BACI,10/31/2016,,JO MI EQUITIES,,,556169,Inspection,,NY,"(40.747299, -73.588547)"
SUBWAY #25966                       ,"1282 HICKSVILLE  ROAD,  SEAFORD",10/06/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1282 HICKSVILLE  ROAD,SEAFORD,11783    ,295045,HEMPSTEAD,SUBWAY #25966,12/31/2016,SUBWAY #25966,GG ENTERPRISES INC,,,573142,Inspection,22 seats,NY,"(40.694208, -73.480102)"
DUNKIN DONUTS                       ,"1691 EAST AVENUE,  ROCHESTER",10/07/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,3,Food Service Establishment - Restaurant,Monroe County,MONROE,1691 EAST AVENUE,ROCHESTER,14607    ,270104,ROCHESTER,DUNKIN DONUTS,12/31/2016,,,,,668350,Inspection,,NY,"(43.146412, -77.559478)"
HARLEM VALLEY GOLF CLUB             ,"109 WHEELER ROAD,  WINGDALE",10/06/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Dutchess County,DUTCHESS,109 WHEELER ROAD,WINGDALE,12594    ,135300,DOVER,HARLEM VALLEY GOLF CLUB,04/30/2016,,,BARUFFO,MICHAEL,273787,Re-Inspection,,NY,"(41.637967, -73.578508)"
BINGHAMTON U - ANDERSON CTR         ,"PO BOX 6000 VESTAL PKWY,  BINGHAMTON",10/06/2015,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; ",0,0,1,Institutional Food Service - College Food Service,Broome County,BROOME,PO BOX 6000 VESTAL PKWY,BINGHAMTON,13902    ,036400,VESTAL,BINGHAMTON U - ANDERSON CTR,01/31/2017,,"SODEXO  MANAGEMENT, INC.",SODEXO MANAGEMENT INC,,256097,Inspection,,NY,"(42.10149, -75.90905)"
BAMBOO HOUSE                        ,"2185 MONROE AVENUE,  ROCHESTER",10/05/2015,"Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Restaurant,Monroe County,MONROE,2185 MONROE AVENUE,ROCHESTER,14618    ,270104,ROCHESTER,BAMBOO HOUSE,12/31/2016,,,,,750403,Re-Inspection,,NY,"(43.122215, -77.559986)"
SYOSSET CSD -AP WILLITS PTA         ,"99 NANA  PLACE,  SYOSSET",10/07/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,99 NANA  PLACE,SYOSSET,11791    ,299900,NASSAU SCHOOLS,SYOSSET CSD -AP WILLITS PTA,10/31/2016,,SYOSSET UFSD,,,579360,Inspection,,NY,"(40.802703, -73.495742)"
CELEBRATIONS BANQUET FACILITY INC   ,"2331 SLATERVILLE ROAD,  ITHACA",10/08/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant/Catering Operation,Tompkins County,TOMPKINS,2331 SLATERVILLE ROAD,ITHACA,14850    ,545000,CAROLINE,CELEBRATIONS BANQUET FACILITY ,06/30/2016,CELEBRATIONS BANQUET FACILITY INC,CELEBRATIONS BANQUET FACILITY INC,MORSE,MRS LAURIE,312961,Inspection,"No Part I Critical Item Violations
No Part II Blue Item Violations",NY,"(42.395269, -76.381044)"
OSWEGO HEAD START                   ,"BLDG 31,  OSWEGO",10/08/2015,No violations found.,0,0,0,Institutional Food Service - Day Care Center Food Service,Oswego County,OSWEGO, BLDG 31  ,OSWEGO,13126    ,370200,OSWEGO,OSWEGO HEAD START,09/30/2016,OSWEGO HEAD START,OSWEGO COUNTY OPPORTUNITIES,KAZEL,BETH,296094,Inspection,,NY,"(43.460265, -76.524055)"
O LAR                               ,"587 PIERMONT AVENUE,  PIERMONT",10/07/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Rockland County,ROCKLAND,587 PIERMONT AVENUE,PIERMONT,10968    ,435200,ORANGETOWN,O LAR,09/30/2016,,O LAR HEARTH CORP,DOMINGUEZ,PATRICIA,788652,Inspection,,NY,"(41.043246, -73.917352)"
CHATHAM GRILL                       ,"34 HUDSON AVENUE,  CHATHAM",10/07/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",0,0,6,Food Service Establishment - Restaurant,Columbia County,COLUMBIA,34 HUDSON AVENUE,CHATHAM,12037    ,102000,CHATHAM,CHATHAM GRILL,09/30/2016,,MAGDALENAS MENU,CASTELLANOS,LEONARDO,909866,Inspection,,NY,"(42.360964, -73.597954)"
SCOTTS OQUAGA LAKE HOUSE            ,"577 OQUAGA LAKE ROAD,  DEPOSIT",08/19/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",0,0,1,Food Service Establishment - Restaurant,Broome County,BROOME,577 OQUAGA LAKE ROAD,DEPOSIT,13754    ,036100,SANFORD,Food Service,10/10/2016,,,,,255717,Inspection,,NY,"(42.015982, -75.45872)"
TACOS EL POBLANO MEXICANO #1        ,"122 NEPPERHAN AVENUE,  YONKERS",10/09/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,122 NEPPERHAN AVENUE,YONKERS,10701    ,590707,YONKERS,TACOS EL POBLANO MEXICANO #1,10/31/2016,,TACOS EL POBLANO MEXICANO INC.,ALVAREZ,ALFONSO,717386,Re-Inspection,"ALL VIOLATIONS HAVE BEEN ADDRESSED AND CORRECTED.  

NO FOOD PREP AT THIS LOCATION.  IF FOOD IS TO BE PREPARED AT THIS LOCATION AN INDIRECTLY WASTEED NSF FOOD PREP SINK MUST BE INSTALLED.

AT THIS TIME A WAIVER OF HEARING IS AVAIABLE FOR 2 CHARGES @ $250 EACH = $500
THE WAIVER MAY BE MAILED TO WCDOH 25 MOORE AVENUE, MT KISCO, NY 10549 WITH A CERTIFIED CHECK OR MONEY ORDER
OR CALLED IN WITH A CREDIT CARD TO 914-864-7365 OR 7351
THE WAIVER MUST BE RECIEVED BY NOVEMBER 20, 2015

PHP-5770-15-PK-VAST-FSE
HEARING DATE DECEMBER 3, 2015 @ 930AM
25 MOORE AVENUE, MT KISCO, NY 10549",NY,"(40.932919, -73.894001)"
STRATHMORE BAGELS & DELI            ,"105 GATEHOUSE ROAD,  SOMERS",10/06/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,105 GATEHOUSE ROAD,SOMERS,10589    ,596600,SOMERS,STRATHMORE BAGELS & DELI,02/28/2017,,BASIA BAGELS INC.,BASIA BAGELS INC., ,731827,Re-Inspection,,NY,"(41.32875, -73.69017)"
BRUNSWICK CENTRAL SCHOOL (MS/HS)    ,"3992 NY 2,  TROY",10/13/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Rensselaer County,RENSSELAER,3992 NY 2  ,TROY,12180    ,415100,BRUNSWICK,BRUNSWICK CENTRAL SCHOOL - MIDDLE/HIGH SCHOOL,10/31/2016,,BRUNSWICK CENTRAL SCHOOL,MANAGER,FOOD SERVICE,301188,Inspection,,NY,"(42.750249, -73.57085)"
RENSSELAER PARK ELEM SCH00L         ,"110th St. & 9th Ave,  TROY",10/07/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Rensselaer County,RENSSELAER, 110th St. & 9th Ave  ,TROY,12180    ,410202,TROY,RENSSELAER PARK ELEM SCH00L,10/31/2016,,Whitson's School Nutrition Corp,Martinez,Melanie,301109,Inspection,,NY,"(42.767125, -73.67415)"
INTERNATIONAL HOUSE OF PANCAKES     ,"145 HILLSIDE  AVENUE,  WILLISTON PARK",10/13/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,4,Food Service Establishment - Restaurant,Nassau  County,NASSAU,145 HILLSIDE  AVENUE,WILLISTON PARK,11596    ,296000,N. HEMPSTEAD,INTERNATIONAL HOUSE OF PANCAKES,06/30/2016,INTERNATIONAL HOUSE OF PANCAKES,SUANTHER INC,,,578823,Inspection,"This establishment received an ""A"" rating.  There are 125 seats in this facility. 
Food Manager's Training Certificate: Tara Robinson exp 6/18, Ramon Martinez exp 12/16.  It should be noted that there are 19 certified food managers in this establishment.",NY,"(40.756502, -73.644883)"
Jordan United Methodist Church      ,"63 Elbridge STREET,  Jordan",10/09/2015,"Item 12A-   Hot, cold running water not provided, pressure inadequate; ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,63 Elbridge STREET,Jordan,13080    ,335400,ELBRIDGE,Jordan United Methodist Church,01/31/2017,,Jordan United Methodist Church,Haidman,Glen,292827,Inspection,Other toilet rooms with adequate handwashing sinks noted in facility and near food preparation area.,NY,"(43.057994, -76.463166)"
SISSY'S CAFE                        ,"324 WALL STREET,  KINGSTON",10/14/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",0,0,9,Food Service Establishment - Food Service Establishment,Ulster County,ULSTER,324 WALL STREET,KINGSTON,12401    ,550100,KINGSTON,SISSY'S CAFE,02/28/2017,,SISSY'S CAFE LTD,FRANCESE-SMITH,SHANI,803642,Inspection,,NY,"(41.934679, -74.019804)"
"TOUCH OF ITALY, A","1187 GRAND AVENUE,  BALDWIN",07/13/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",0,0,7,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1187 GRAND AVENUE,BALDWIN,11510    ,295002,HEMPSTEAD,A TOUCH OF ITALY,09/30/2016,,AJR RESTAURANT & PIZZERIA CORP,,,570862,Inspection,,NY,"(40.681049, -73.614907)"
CAMP YESHIVA                        ,"1302 Briscoe  ROAD,  Swan Lake",08/11/2015,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,SED Summer Feeding Prog. - SED Food Preparation Site,Monticello District Office,SULLIVAN,1302 Briscoe  ROAD,Swan Lake,12783    ,525800,LIBERTY,Camp Yeshiva-Food Service,08/23/2015,,,,,346238,Inspection,,NY,"(41.763801, -74.820698)"
SANTA'S WORKSHOP AT NORTH POLE      ,"324 WHITEFACE MEMORIAL HWY,  NORTH POLE",07/16/2015,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.; ",1,0,1,Food Service Establishment - Bakery,Saranac Lake District Office,ESSEX,324 WHITEFACE MEMORIAL HWY  ,NORTH POLE,12997    ,156700,WILMINGTON,SANTA'S BAKE SHOP,07/31/2016,,"NORTH POLE ASSOCIATES, LLC",BOCK,JASON,876259,Inspection,"Refrigerator 40 degrees, Milk 40 degrees, Half/Half 38 degrees. Per interview with Head Maintenance staff member, floor mats were not consistently being cleaned daily. These mats have openings that can trap dirt and food particles. Education was given on the importance of cleaning these mats daily. No evidence of contamination was noted on day of inspection.",NY,"(44.400565, -73.846904)"
CAMP WHITMAN                        ,"150 WHITMAN  ROAD,  PENN YAN",07/16/2015,"Item 14A-   Insects, rodents present; ",0,0,1,Institutional Food Service - Children's Camp Food Service,Geneva District Office,YATES,150 WHITMAN  ROAD,PENN YAN,14527    ,615800,TORREY,CAMP WHITMAN/FOOD,08/16/2015,,,,,325816,Inspection,Good hot and cold temps. chicken 168f sweet potatoes 148f,NY,"(42.638078, -76.927796)"
"COACH SPORTS BAR & CATERING, THE","19 WEST  MAIN STREET,  WEBSTER",07/14/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Restaurant,Monroe County,MONROE,19 WEST  MAIN STREET,WEBSTER,14580    ,270104,ROCHESTER,THE COACH SPORTS BAR,12/31/2016,,,,,667170,Inspection,,NY,"(43.212178, -77.431086)"
HOPS SPOT (THE)                     ,"214.5 WEST MAIN STREET,  SACKETS HARBOR",07/16/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8F-   Improper thawing procedures used; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,12,Food Service Establishment - Restaurant,Watertown District Office,JEFFERSON, 214.5 WEST MAIN STREET  ,SACKETS HARBOR,13685    ,223300,HOUNSFIELD,THE HOPS SPOT,12/31/2016,,"RC Spot, LLC",Chaif,Ryan,762426,Inspection,"all cold holding temps evaluated found acceptable- beer cheese @ 43F
- all hot holding temps evaluated found acceptable- chicken @ 165F. 

hood vent panels clean.",NY,"(43.947636, -76.121392)"
OSWEGO CITY SCHOOL DISTRICT - SED   ,"249 WEST FIRST STREET,  OSWEGO",07/17/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Self Preparation Feeding Site,Oswego County,OSWEGO, 249 WEST FIRST STREET  ,OSWEGO,13126    ,370200,OSWEGO,FITZHUGH PARK SCHOOL - SED,08/14/2015,,OSWEGO CITY SCHOOL DISTRICT,WAGONER,JANE,834776,Inspection,,NY,"(43.454234, -76.509866)"
CABOOSE                             ,"LEACH ROAD,  LYONS",07/17/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Geneva District Office,WAYNE, LEACH ROAD,LYONS,14489    ,585400,LYONS,CABOOSE,03/31/2017,,,AMROSE,JOSEPH,326344,Inspection,All temperatures are adequate at time of inspection,NY,"(43.057296, -77.001625)"
Subway-UFO                          ,"9993 Alleghany ROAD,  Darien Center",07/20/2015,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; ",1,0,0,Food Service Establishment - Food Service Establishment,Genesee County,GENESEE,9993 Alleghany ROAD,Darien Center,14040    ,185601,DARIEN,Subway  UFO (23944-1),05/31/2016,,"KASA Enterprises, LLC.",Stewart,Stephen,456263,Inspection,All violations corrected at time of inspection. (1),NY,"(42.927791, -78.382634)"
OUR LADY OF MT CARMEL CHURCH KITCHEN,"934 STEWART  PLACE,  FRANKLIN SQUARE",07/17/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,934 STEWART  PLACE,FRANKLIN SQUARE,11010    ,295015,HEMPSTEAD,OUR LADY OF MT CARMEL CHURCH KITCHEN,06/30/2016,,OUR LADY OF MT CARMEL,BEEGAN,JOHN,576455,Inspection,,NY,"(40.715514, -73.674738)"
