Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
22470,CHIPOTLE MEXICAN GRILL #1608,10135 COLESVILLE RD.,,SILVER SPRING,20901,10/30/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHIPOTLE MEXICAN GRILL,Restaurant,Food,39.0209,-77.0119,"(39.0209, -77.0119)"
18633,PIZZA BOLI'S,12216 VEIRS MILL RD.,,WHEATON,20906,12/04/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,Out of Compliance,In Compliance,Monitoring,"MSTH, INC.",Restaurant,Food,39.0564,-77.0841,"(39.0564, -77.0841)"
24413,4 CORNERS PUB,10111 SUTHERLAND RD,,SILVER SPRING,20901,07/17/2014,Critical Violations Corrected,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,HOSS & DOG LLC,Restaurant,Food,39.0211,-77.0129,"(39.0211, -77.0129)"
17089,SUBWAY #21871,"1161 UNIVERSITY BLVD., E.",,TAKOMA PARK,20912,03/10/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,RIZWAN KHAN,,Food,38.9888,-76.9896,"(38.9888, -76.9896)"
1995,PORTUGUESE CLUB RESTAURANT,12210 VEIRS MILL RD.,,WHEATON,20906,03/01/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"PORTUGUESE CLUB RESTAURANT, INC.",Restaurant,Food,39.0563,-77.0839,"(39.0563, -77.0839)"
2576,VEIRS MILL EXXON,12245 VEIRS MILL RD.,,SILVER SPRING,20906,10/23/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SPRING BROOK INT,Market,Food,39.0571,-77.0835,"(39.0571, -77.0835)"
11648,HOLIDAY PARK SNACK SHOP CAF�,3950 FERRARA DR.,,WHEATON,20906,03/20/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MONTG. CO. DEPT. OF RECREATION,Restaurant,Food,39.0512,-77.0776,"(39.0512, -77.0776)"
27917,PERUVIAN COUNTRY CHICKEN,10118 COLESVILLE RD,,SILVER SPRING,20901,10/14/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Re-inspection Billable,PERUVIAN COUNTY CHICKEN LLC,Restaurant,Food,39.0209,-77.0126,"(39.0209, -77.0126)"
27451,MENCHIE'S,13044 MIDDLEBROOK RD,,GERMANTOWN,20874,03/14/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,EDGEWATER FC,Market,Food,39.1817,-77.27,"(39.1817, -77.27)"
26571,"EL GAUCHO MEATS & FISH, INC",4301 RANDOLPH RD,,SILVER SPRING,20906,10/30/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,RAMON ALEGRE,Market,Food,39.056,-77.0836,"(39.056, -77.0836)"
17191,EL DORADO TACOS CAF�,12220 VIERS MILL RD.,,SILVER SPRING,20906,01/13/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,LOUIS H. DIAZ,Restaurant,Food,39.0564,-77.0842,"(39.0564, -77.0842)"
18984,SARGENT SHRIVER ELEM. SCHOOL,12518 GREENLY DR.,,SILVER SPRING,20906,09/23/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MONTGOMERY COUNTY PUBLIC SCHOOLS,Public School- Elementary,Food,39.0618,-77.0797,"(39.0618, -77.0797)"
1159,HIGHLAND ELEMENTARY,3100 MEDWAY ST.,,SILVER SPRING,20902,11/23/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MONTGOMERY COUNTY PUBLIC SCHOOLS,Public School- Elementary,Food,39.0513,-77.0638,"(39.0513, -77.0638)"
17079,RITE AID #03831,12222 VEIRS MILL RD.,,SILVER SPRING,20906,06/09/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"RITE AID OF MARYLAND, INC.",Market,Food,39.0565,-77.0844,"(39.0565, -77.0844)"
2049,RANDOLPH PHARMACY,4301 RANDOLPH RD.,,SILVER SPRING,20906,03/09/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,DISCOUNT DRUGS OF WISCONSIN INC.,Market,Food,39.056,-77.0837,"(39.056, -77.0837)"
28857,BLT GRILL,9623 LOST KNIFE RD,,GAITHERSBURG,20877,03/14/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,B + C FOOD SERVICE LLC,Restaurant,Food,39.1529,-77.199,"(39.1529, -77.199)"
18399,LA FRONTERA 2,4217 RANDOLPH RD.,,SILVER SPRING,20906,09/25/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"LA FRONTERA, INC.",Restaurant,Food,39.0572,-77.0817,"(39.0572, -77.0817)"
2261,SHERWOOD HIGH,300 OLNEY SANDY SPRING RD.,,SANDY SPRING,20860,03/14/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MONTGOMERY COUNTY PUBLIC SCHOOLS,Public School- High,Food,39.149,-77.0175,"(39.149, -77.0175)"
2576,VEIRS MILL EXXON,12245 VEIRS MILL RD.,,SILVER SPRING,20906,06/12/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,SPRING BROOK INT,Market,Food,39.0571,-77.0835,"(39.0571, -77.0835)"
1995,PORTUGUESE CLUB RESTAURANT,12210 VEIRS MILL RD.,,WHEATON,20906,12/04/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"PORTUGUESE CLUB RESTAURANT, INC.",Restaurant,Food,39.0563,-77.0839,"(39.0563, -77.0839)"
27810,NMS HEALTHCARE OF SILVER SPRING INC,4011 RANDOLPH RD,,SILVER SPRING,20902,07/21/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,NMS HEALTHCARE OF SILVER SPRING,Nursing Home,Food,39.0579,-77.0798,"(39.0579, -77.0798)"
18633,PIZZA BOLI'S,12216 VEIRS MILL RD.,,WHEATON,20906,08/14/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"MSTH, INC.",Restaurant,Food,39.0564,-77.0841,"(39.0564, -77.0841)"
24095,SWEET FROG,100 Lexington Dr,,SILVER SPRING,20901,08/26/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SWEETFROG ENTERPRISES LLC,Restaurant,Food,39.0197,-77.011,"(39.0197, -77.011)"
2698,WOODMOOR PASTRY SHOPPE,10127 COLESVILLE RD.,,SILVER SPRING,20901,05/06/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"SHIRL-LEE PASTRY SHOP, INC./JOANNA M. GRAY",,Food,39.0208,-77.0118,"(39.0208, -77.0118)"
22470,CHIPOTLE MEXICAN GRILL #1608,10135 COLESVILLE RD.,,SILVER SPRING,20901,09/17/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,CHIPOTLE MEXICAN GRILL,Restaurant,Food,39.0209,-77.0119,"(39.0209, -77.0119)"
947,FOREST GLEN DELI,536 FOREST GLEN RD.,,SILVER SPRING,20901,02/02/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MOO YOUNG CHUN,Carry Out,Food,39.0164,-77.0187,"(39.0164, -77.0187)"
2576,VEIRS MILL EXXON,12245 VEIRS MILL RD.,,SILVER SPRING,20906,06/12/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SPRING BROOK INT,Market,Food,39.0571,-77.0835,"(39.0571, -77.0835)"
2049,RANDOLPH PHARMACY,4301 RANDOLPH RD.,,SILVER SPRING,20906,10/30/2015,Critical Violations Corrected,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,DISCOUNT DRUGS OF WISCONSIN INC.,Market,Food,39.056,-77.0837,"(39.056, -77.0837)"
24413,4 CORNERS PUB,10111 SUTHERLAND RD,,SILVER SPRING,20901,10/27/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,HOSS & DOG LLC,Restaurant,Food,39.0211,-77.0129,"(39.0211, -77.0129)"
2576,VEIRS MILL EXXON,12245 VEIRS MILL RD.,,SILVER SPRING,20906,10/30/2015,Critical Violations Corrected,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SPRING BROOK INT,Market,Food,39.0571,-77.0835,"(39.0571, -77.0835)"
17191,EL DORADO TACOS CAF�,12220 VIERS MILL RD.,,SILVER SPRING,20906,01/14/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,LOUIS H. DIAZ,Restaurant,Food,39.0564,-77.0842,"(39.0564, -77.0842)"
2699,WOODMOOR SUPERMARKET,10129 COLESVILLE RD.,,SILVER SPRING,20901,06/17/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,,JAMES S. CHOI,Market,Food,39.0208,-77.0119,"(39.0208, -77.0119)"
11235,POLLO DORADO,12218 VEIRS MILL RD.,,SILVER SPRING,20906,08/25/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,PALMERAS FOOD CORP.,Restaurant,Food,39.0564,-77.0841,"(39.0564, -77.0841)"
1159,HIGHLAND ELEMENTARY,3100 MEDWAY ST.,,SILVER SPRING,20902,06/04/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MONTGOMERY COUNTY PUBLIC SCHOOLS,Public School- Elementary,Food,39.0513,-77.0638,"(39.0513, -77.0638)"
19421,WENDY'S #193,11030 VIERS MILL RD.,,WHEATON,20902,03/11/2016,Critical Violations Corrected,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,DAVCO RESTAURANTS LLC,Restaurant,Food,39.0371,-77.0518,"(39.0371, -77.0518)"
17094,STARBUCKS COFFEE #7619,10103 COLESVILLE RD.,,SILVER SPRING,20901,12/01/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,STARBUCKS CORP LICENSE SERVICE,Restaurant,Food,39.0202,-77.0118,"(39.0202, -77.0118)"
24291,RED MAPLE RESTAURANT & BAR,10110 COLESVILLE RD,,SILVER SPRING,20901,12/02/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHOA Q ZHENG,,Food,39.0208,-77.0127,"(39.0208, -77.0127)"
807,DUNKIN DONUTS / BASKIN ROBBINS #330619,12200 VEIRS MILL RD.,,SILVER SPRING,20906,01/30/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"A & L DONUTS, INC.",Restaurant,Food,39.0561,-77.0833,"(39.0561, -77.0833)"
11235,POLLO DORADO,12218 VEIRS MILL RD.,,SILVER SPRING,20906,05/30/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,PALMERAS FOOD CORP.,Restaurant,Food,39.0564,-77.0841,"(39.0564, -77.0841)"
22470,CHIPOTLE MEXICAN GRILL #1608,10135 COLESVILLE RD.,,SILVER SPRING,20901,06/05/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL,Restaurant,Food,39.0209,-77.0119,"(39.0209, -77.0119)"
24291,RED MAPLE RESTAURANT & BAR,10110 COLESVILLE RD,,SILVER SPRING,20901,10/13/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,CHOA Q ZHENG,,Food,39.0208,-77.0127,"(39.0208, -77.0127)"
27873,SARDIS CHICKEN VI,1159 UNIVERSITY BLVD E,,LANGLEY PARK,20912,03/10/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,SARDIS CHICKEN VI INC,Restaurant,Food,38.9889,-76.9896,"(38.9889, -76.9896)"
2260,SHERWOOD ELEMENTARY,1401 OLNEY SANDY SPRING RD.,,SANDY SPRING,20860,03/14/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MONTGOMERY COUNTY PUBLIC SCHOOLS,Public School- Elementary,Food,39.1496,-77.0333,"(39.1496, -77.0333)"
27917,PERUVIAN COUNTRY CHICKEN,10118 COLESVILLE RD,,SILVER SPRING,20901,05/12/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,PERUVIAN COUNTY CHICKEN LLC,Restaurant,Food,39.0209,-77.0126,"(39.0209, -77.0126)"
17191,EL DORADO TACOS CAF�,12220 VIERS MILL RD.,,SILVER SPRING,20906,05/30/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,LOUIS H. DIAZ,Restaurant,Food,39.0564,-77.0842,"(39.0564, -77.0842)"
28806,SAFEWAY #4817,116 UNIVERSITY BLVD W.,,SILVER SPRING,20901,10/13/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,NAI SATURN EASTERN LLC,Market,Food,39.0207,-77.0152,"(39.0207, -77.0152)"
807,DUNKIN DONUTS / BASKIN ROBBINS #330619,12200 VEIRS MILL RD.,,SILVER SPRING,20906,03/03/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,Out of Compliance,In Compliance,Comprehensive,"A & L DONUTS, INC.",Restaurant,Food,39.0561,-77.0833,"(39.0561, -77.0833)"
18399,LA FRONTERA 2,4217 RANDOLPH RD.,,SILVER SPRING,20906,01/09/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"LA FRONTERA, INC.",Restaurant,Food,39.0572,-77.0817,"(39.0572, -77.0817)"
1396,KOREAN KORNER,12207 VEIRS MILL RD.,,WHEATON,20906,04/14/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"YOUNG NAM, KOREAN KORNER",Market,Food,39.0573,-77.0823,"(39.0573, -77.0823)"
2325,ST. CATHERINE LABOURE CLARIDGE ROOM,11801 CLARIDGE RD,,WHEATON,20902,06/04/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,ARCHDIOCESE OF WASHINGTON,Private School,Food,39.0492,-77.0679,"(39.0492, -77.0679)"
18633,PIZZA BOLI'S,12216 VEIRS MILL RD.,,WHEATON,20906,02/24/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,Out of Compliance,In Compliance,Monitoring,"MSTH, INC.",Restaurant,Food,39.0564,-77.0841,"(39.0564, -77.0841)"
38,7-ELEVEN #25667,2 UNIVERSITY BLVD W,,SILVER SPRING,20901,02/24/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,Out of Compliance,In Compliance,Monitoring,"VMP, INC./7-ELEVEN #25667-2541",Market,Food,39.0202,-77.0133,"(39.0202, -77.0133)"
27917,PERUVIAN COUNTRY CHICKEN,10118 COLESVILLE RD,,SILVER SPRING,20901,03/08/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,PERUVIAN COUNTY CHICKEN LLC,Restaurant,Food,39.0209,-77.0126,"(39.0209, -77.0126)"
18710,LA BAGUETTE DE PARIS,4301 RANDOLPH RD.,,SILVER SPRING,20906,09/02/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SOKVARY,Market,Food,39.0559,-77.0835,"(39.0559, -77.0835)"
24413,4 CORNERS PUB,10111 SUTHERLAND RD,,SILVER SPRING,20901,02/26/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,HOSS & DOG LLC,Restaurant,Food,39.0211,-77.0129,"(39.0211, -77.0129)"
2698,WOODMOOR PASTRY SHOPPE,10127 COLESVILLE RD.,,SILVER SPRING,20901,06/17/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"SHIRL-LEE PASTRY SHOP, INC./JOANNA M. GRAY",,Food,39.0208,-77.0118,"(39.0208, -77.0118)"
24291,RED MAPLE RESTAURANT & BAR,10110 COLESVILLE RD,,SILVER SPRING,20901,05/27/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHOA Q ZHENG,,Food,39.0208,-77.0127,"(39.0208, -77.0127)"
947,FOREST GLEN DELI,536 FOREST GLEN RD.,,SILVER SPRING,20901,07/30/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,MOO YOUNG CHUN,Carry Out,Food,39.0164,-77.0187,"(39.0164, -77.0187)"
11560,MCDONALD'S - UNIVERSITY BLVD,106 WEST UNIVERSITY BLVD.,,SILVER SPRING,20901,02/02/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"GME FOUR CORNERS, LLC",Restaurant,Food,39.0206,-77.0139,"(39.0206, -77.0139)"
29135,MCDONALD'S #21133,12135 VEIRS MILL RD,,SILVER SPRING,20910,12/04/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,MTB ENTERPRISES LLC,Restaurant,Food,39.0562,-77.0818,"(39.0562, -77.0818)"
11235,POLLO DORADO,12218 VEIRS MILL RD.,,SILVER SPRING,20906,09/03/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,PALMERAS FOOD CORP.,Restaurant,Food,39.0564,-77.0841,"(39.0564, -77.0841)"
17079,RITE AID #03831,12222 VEIRS MILL RD.,,SILVER SPRING,20906,12/18/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"RITE AID OF MARYLAND, INC.",Market,Food,39.0565,-77.0844,"(39.0565, -77.0844)"
